movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Lovely Bones,PG-13,93621340,2009-12-11 00:00:00,135,65000000,44114232
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Lucky Numbers,R,10890222,2000-10-27 00:00:00,105,63000000,10042516
Lucy,R,463360063,2014-07-25 00:00:00,90,40000000,126663600
"Lust, Caution",NC-17,67091915,2007-09-28 00:00:00,158,15000000,4604982
Luther,PG-13,29413900,2003-09-26 00:00:00,115,30000000,5791328
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
M.A.S.H.,R,N/A,1970-01-25 00:00:00,116,3500000,81600000
MacGruber,R,9322895,2010-05-21 00:00:00,88,10000000,8525600
Machete,R,44093316,2010-09-03 00:00:00,105,10500000,26593646
Machine Gun Preacher,R,3338690,2011-09-23 00:00:00,123,30000000,538690
Mad City,PG-13,N/A,1997-11-07 00:00:00,115,50000000,10541523
Mad Max: Fury Road,R,378436354,2015-05-15 00:00:00,120,150000000,153636354
Madagascar 3: Europe's Most Wanted,PG,746921274,2012-06-08 00:00:00,93,145000000,216391482
Madagascar: Escape 2 Africa,PG,603900354,2008-11-07 00:00:00,89,150000000,180010950
Made of Honor,PG-13,105962760,2008-05-02 00:00:00,101,40000000,46012734
Madonna: Truth or Dare,R,29012935,1991-05-10 00:00:00,114,4500000,15012935
Mafia!,PG-13,N/A,1998-07-24 00:00:00,83,10000000,19889299
Magic,R,N/A,1978-11-08 00:00:00,107,7000000,N/A
Magic Mike,R,167221571,2012-06-29 00:00:00,110,7000000,113721571
Magic Mike XXL,R,122513057,2015-07-01 00:00:00,115,14800000,66013057
Magnolia,R,48451803,1999-12-17 00:00:00,188,37000000,22455976
Maid in Manhattan,PG-13,154906693,2002-12-13 00:00:00,105,55000000,94011225
The Majestic,PG,37317558,2001-12-21 00:00:00,152,72000000,27807266
Maleficent,PG,758539785,2014-05-30 00:00:00,97,180000000,241410378
Malevolence,R,127287,2004-09-10 00:00:00,90,200000,127287
Malibu's Most Wanted,PG-13,34622504,2003-04-18 00:00:00,80,15000000,34432201
Mama,PG-13,146428180,2013-01-18 00:00:00,100,15000000,71628180
Mamma Mia!,PG-13,609841637,2008-07-18 00:00:00,108,52000000,144130063
A Man Apart,R,44350926,2003-04-04 00:00:00,105,36000000,26736098
The Man From U.N.C.L.E.,PG-13,109845109,2015-08-14 00:00:00,116,75000000,45445109
Man of Steel,PG-13,668045518,2013-06-14 00:00:00,143,225000000,291045518
Man on a Ledge,PG-13,46221189,2012-01-27 00:00:00,102,42000000,18620000
Man on Fire,R,130293714,2004-04-21 00:00:00,146,70000000,77911774
Man on the Moon,R,47434430,1999-12-22 00:00:00,119,82000000,34607430
