movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Re-Animator,R,N/A,1985-10-18 00:00:00,86,900000,2023414
The Reader,R,108901967,2008-12-10 00:00:00,122,32000000,34194407
Ready to Rumble,PG-13,12452362,2000-04-07 00:00:00,106,24000000,12394327
The Real Cancun,R,5345083,2003-04-25 00:00:00,97,7500000,3825421
Rebound,PG,17492014,2005-07-01 00:00:00,103,33100000,16809014
The Reception,Unrated,N/A,2005-07-15 00:00:00,71,5000,18389
Recess: School's Out,G,44460850,2001-02-16 00:00:00,84,23000000,36706141
Red,PG-13,199006387,2010-10-15 00:00:00,111,58000000,90380162
Red 2,PG-13,148075565,2013-07-19 00:00:00,116,84000000,53262560
Red Dawn (2012),PG-13,44806783,2012-11-21 00:00:00,93,65000000,44806783
Red Dragon,R,209196298,2002-10-04 00:00:00,126,78000000,93149898
Red Eye,PG-13,95577774,2005-08-19 00:00:00,85,26000000,57891803
Red Planet,PG-13,33463969,2000-11-10 00:00:00,106,80000000,17480890
Red Riding Hood,PG-13,89162162,2011-03-11 00:00:00,100,42000000,37662162
Red Riding Trilogy,Unrated,N/A,2010-02-05 00:00:00,307,9000000,151644
Red Rock West,R,N/A,1994-01-28 00:00:00,98,8000000,2502551
Red Tails,PG-13,50365377,2012-01-20 00:00:00,120,58000000,49876377
The Red Violin,R,N/A,1998-11-06 00:00:00,130,18000000,9495408
Redbelt,R,2674090,2008-05-02 00:00:00,99,7000000,2345941
Redemption Road,PG-13,N/A,2011-08-26 00:00:00,90,2300000,29384
Redline,PG-13,8267379,2007-04-13 00:00:00,95,26000000,6881022
Redneck Carnage,Unrated,N/A,2011-10-29 00:00:00,90,20000,706
Reds,PG,N/A,1981-12-04 00:00:00,194,32000000,40382659
Reign of Fire,PG-13,82150183,2002-07-12 00:00:00,109,60000000,43061982
Reign Over Me,R,22222308,2007-03-23 00:00:00,125,20000000,19661987
Reindeer Games,R,32168970,2000-02-25 00:00:00,104,42000000,23368995
Religulous,R,13639115,2008-10-01 00:00:00,101,2500000,13011160
Remember Me,PG-13,56032889,2010-03-12 00:00:00,128,16000000,19068240
Remember the Titans,PG,136706683,2000-09-29 00:00:00,113,30000000,115654751
Renaissance,R,1831348,2006-09-22 00:00:00,105,18000000,70644
Reno 911!: Miami,R,22021262,2007-02-23 00:00:00,84,10000000,20342161
Rent,PG-13,31670620,2005-11-23 00:00:00,135,40000000,29077547
The Replacements,PG-13,50054511,2000-08-11 00:00:00,118,50000000,44737059
Repo Men,R,18409891,2010-03-19 00:00:00,111,32000000,13794835
Reservoir Dogs,R,N/A,1992-10-23 00:00:00,99,1200000,2832029
Resident Evil,R,102441078,2002-03-15 00:00:00,94,33000000,40119709
Resident Evil: Afterlife,R,296221663,2010-09-10 00:00:00,100,60000000,60128566
Resident Evil: Apocalypse,R,129394835,2004-09-10 00:00:00,94,45000000,51201453
Resident Evil: Retribution,R,240159255,2012-09-14 00:00:00,95,65000000,42345531
Restless (2011),PG-13,163265,2011-09-16 00:00:00,91,8000000,163265
Restoration,R,N/A,1995-12-29 00:00:00,118,19000000,4005941
Return of the Jedi,PG,475106177,1983-05-25 00:00:00,134,32500000,252583617
Return to Me,PG,36609995,2000-04-07 00:00:00,116,24000000,32722798
Return to Never Land,G,109862682,2002-02-15 00:00:00,72,20000000,48430258
