movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Cloudy with a Chance of Meatballs,PG,243006126,2009-09-18 00:00:00,81,100000000,124870275
Cloudy with a Chance of Meatballs 2,PG,274325949,2013-09-27 00:00:00,95,78000000,119793567
Cloverfield,PG-13,170764026,2008-01-18 00:00:00,84,25000000,80048433
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Coach Carter,PG-13,76669806,2005-01-14 00:00:00,134,30000000,67264877
Coco Before Chanel,PG-13,50812934,2009-09-25 00:00:00,110,23000000,6113834
Code Name: The Cleaner,PG-13,10337477,2007-01-05 00:00:00,84,20000000,8135024
Cold Mountain,R,173013509,2003-12-25 00:00:00,155,79000000,95636509
Collateral,R,217764291,2004-08-06 00:00:00,125,65000000,101005703
Collateral Damage,R,78382433,2002-02-08 00:00:00,108,85000000,40077257
College,R,6265483,2008-08-29 00:00:00,94,7000000,4694636
Colombiana,PG-13,60965854,2011-08-26 00:00:00,107,40000000,36665854
Color of Night,R,N/A,1994-08-19 00:00:00,121,40000000,19726050
Come Away Home,PG,N/A,2005-05-06 00:00:00,102,1200000,72810
Comic-Con Episode IV: A Fan's Hope,PG-13,N/A,2012-04-06 00:00:00,88,1500000,34665
Commandments,R,N/A,1997-05-02 00:00:00,88,6000000,548561
Committed,R,N/A,2000-04-28 00:00:00,98,3000000,40361
The Company,PG-13,6401690,2003-12-25 00:00:00,112,15000000,2283914
Company Man,PG-13,N/A,2001-03-09 00:00:00,81,16000000,146193
The Company Men,R,4882577,2011-01-21 00:00:00,105,15000000,4441272
The Company of Wolves,R,N/A,1985-04-19 00:00:00,95,2000000,4389334
Con Air,R,224012234,1997-06-06 00:00:00,115,75000000,101117573
Conan the Barbarian (2011),R,48795021,2011-08-19 00:00:00,112,90000000,21295021
Concussion (2015),PG-13,47348970,2015-12-25 00:00:00,123,35000000,34542474
Confessions of a Dangerous Mind,R,33013805,2002-12-31 00:00:00,113,30000000,16007718
Confidence,R,23014206,2003-04-25 00:00:00,98,15000000,12251640
The Conjuring,R,318000141,2013-07-19 00:00:00,112,20000000,137400141
Connie and Carla,PG-13,11341016,2004-04-16 00:00:00,97,27000000,8085771
The Conspirator,PG-13,15478800,2011-04-15 00:00:00,122,25000000,11538204
The Constant Gardener,R,82466670,2005-08-31 00:00:00,129,25000000,33579797
Constantine,R,230884728,2005-02-18 00:00:00,121,100000000,75976178
Contact,PG,171120329,1997-07-11 00:00:00,150,90000000,100920329
Contagion,PG-13,135458097,2011-09-09 00:00:00,105,60000000,75658097
The Contender,R,22361811,2000-10-13 00:00:00,127,20000000,17872723
Contraband,R,96262212,2012-01-13 00:00:00,110,25000000,66528000
Conversations with Other Women,R,973525,2006-08-11 00:00:00,84,450000,379418
