movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Alamo (2004),PG-13,25819961,4/9/04 0:00,137,107000000,22414961
Albino Alligator,R,N/A,1/17/97 0:00,94,6000000,339379
Alex and Emma,PG-13,15368897,6/20/03 0:00,100,30000000,14218698
Alex Cross,PG-13,34588412,10/19/12 0:00,101,35000000,25888412
Alexander,R,167298192,11/24/04 0:00,176,155000000,34297191
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,101379287,10/10/14 0:00,81,28000000,66954149
Alfie,R,35150546,11/5/04 0:00,102,60000000,13399812
Ali,R,87713825,12/25/01 0:00,156,107000000,58203105
Alice in Wonderland (2010),PG,1025467110,3/5/10 0:00,109,200000000,334191110
Alien,R,104931801,5/25/79 0:00,117,11000000,78944891
Alien 3,R,159814498,5/22/92 0:00,114,50000000,55473545
Alien Resurrection,R,161376068,11/26/97 0:00,109,75000000,47795658
Alien Vs. Predator,PG-13,172544654,8/13/04 0:00,87,60000000,80282231
Aliens in the Attic,PG,57881056,7/31/09 0:00,86,45000000,25200412
All About the Benjamins,R,26306533,3/8/02 0:00,95,15000000,25916319
All or Nothing,R,201546,10/25/02 0:00,128,9000000,201546
All the King's Men,PG-13,9450897,9/22/06 0:00,141,55000000,7221458
All the Pretty Horses,PG-13,18133495,12/25/00 0:00,117,57000000,15540353
All the Queen's Men,Unrated,N/A,10/25/02 0:00,105,15000000,23662
Almost Famous,R,47383689,9/15/00 0:00,122,60000000,32534850
Almost You,R,N/A,3/29/85 0:00,96,1000000,95000
Aloha,PG-13,26250020,5/29/15 0:00,105,37000000,21067116
Alone in the Dark,R,10442808,1/28/05 0:00,96,20000000,5178569
Alone Yet Not Alone,PG-13,N/A,9/27/13 0:00,103,7000000,887851
Along Came a Spider,R,105178561,4/6/01 0:00,103,60000000,74078174
Along Came Polly,PG-13,171963386,1/16/04 0:00,90,42000000,88097164
Alvin and the Chipmunks,PG,361336633,12/14/07 0:00,92,60000000,217326974
Alvin and the Chipmunks: Chipwrecked,G,342695435,12/16/11 0:00,87,75000000,133110742
Alvin and the Chipmunks: The Squeakquel,PG,443140005,12/23/09 0:00,88,75000000,219614612
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
The Amazing Spider-Man,PG-13,757930663,7/3/12 0:00,136,230000000,262030663
Amelia,PG,19642013,10/23/09 0:00,120,40000000,14245415
Amelie,R,173921954,11/2/01 0:00,122,10000000,33225499
America's Sweethearts,PG-13,138191428,7/20/01 0:00,102,46000000,93607673
The American,R,67876281,9/1/10 0:00,105,20000000,35606376
American Beauty,R,356296601,9/15/99 0:00,122,15000000,130096601
An American Carol,PG-13,N/A,10/3/08 0:00,83,20000000,7013191
American Dreamz,PG-13,16458459,4/21/06 0:00,107,17000000,7191830
