movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
DodgeBall: A True Underdog Story,PG-13,167722310,2004-06-18 00:00:00,97,20000000,114326736
Dogma,R,30652890,1999-11-12 00:00:00,130,10000000,30652890
Dogville,R,16680836,2004-03-26 00:00:00,177,10000000,1535286
The Dogwalker (2002),Unrated,N/A,2002-09-13 00:00:00,105,425000,7420
Dolphin Tale,PG,95404397,2011-09-23 00:00:00,112,37000000,72286779
Dolphin Tale 2,PG,57824533,2014-09-12 00:00:00,107,36000000,42024533
Domestic Disturbance,PG-13,54249294,2001-11-02 00:00:00,89,75000000,N/A
Don Jon,R,30450756,2013-09-27 00:00:00,90,3000000,24477704
Don Juan de Marco,PG-13,68792531,1995-04-07 00:00:00,97,25000000,22150451
Don't Be Afraid of the Dark,R,36993168,2011-08-26 00:00:00,100,25000000,24046682
Don't Say a Word,R,100020092,2001-09-28 00:00:00,113,50000000,55001642
Donnie Darko,R,1270522,2001-10-26 00:00:00,113,6000000,517375
Doom,R,55987321,2005-10-21 00:00:00,100,60000000,28212337
The Door in the Floor,R,6715067,2004-07-14 00:00:00,111,7500000,3854624
Dope,R,17986781,2015-06-19 00:00:00,115,7000000,17506470
The Double Hour,Unrated,2715751,2011-04-15 00:00:00,95,4300000,1514942
Double Jeopardy,R,177841558,1999-09-24 00:00:00,105,70000000,116741558
Doubt,PG-13,50907234,2008-12-12 00:00:00,104,20000000,33446470
Down and Out in Beverly Hills,R,N/A,1986-01-31 00:00:00,103,14000000,62134225
Down Terrace,R,N/A,2010-10-15 00:00:00,89,30000,9812
Down to Earth,PG-13,71186502,2001-02-16 00:00:00,87,49000000,64186502
Down to You,PG-13,24419914,2000-01-21 00:00:00,89,35000000,20069008
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Dr. Dolittle 2,PG,176104344,2001-06-22 00:00:00,87,70000000,112952899
Dr. Seuss' Horton Hears a Who!,G,297138014,2008-03-14 00:00:00,88,85000000,154529439
Dr. Seuss' The Lorax,PG,348840316,2012-03-02 00:00:00,95,70000000,214030500
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,GP,N/A,1964-01-29 00:00:00,93,1800000,9164370
Dr. T and the Women,R,22844291,2000-10-13 00:00:00,121,23000000,13113041
Dracula 2000,R,47053625,2000-12-22 00:00:00,99,54000000,33022767
Dracula Untold,PG-13,217124280,2014-10-10 00:00:00,92,70000000,56280355
Dracula: Pages from a Virgin's Diary,Unrated,N/A,2003-05-14 00:00:00,73,1600000,55365
Drag Me to Hell,PG-13,90842646,2009-05-29 00:00:00,99,30000000,42100625
Dragon Wars,PG-13,75108998,2007-09-14 00:00:00,90,32000000,10977721
Dragonfly,PG-13,52323400,2002-02-22 00:00:00,105,60000000,30323400
Dream House,PG-13,38502340,2011-09-30 00:00:00,92,50000000,21302340
Dream with the Fishes,R,N/A,1997-06-20 00:00:00,97,1000000,543708
Dreamcatcher,R,75715436,2003-03-21 00:00:00,134,68000000,33715436
Dreamer: Inspired by a True Story,PG,38741732,2005-10-21 00:00:00,102,32000000,32751093
The Dreamers,NC-17,15121165,2004-02-06 00:00:00,116,15000000,2532228
Dredd,R,35626525,2012-09-21 00:00:00,95,50000000,13414714
Dressed to Kill,R,N/A,1980-06-23 00:00:00,105,6500000,31899000
Drive (2011),R,76175166,2011-09-16 00:00:00,103,15000000,35060689
Drive Me Crazy,PG-13,22593409,1999-10-01 00:00:00,91,8500000,17845337
Driven,PG-13,54744738,2001-04-27 00:00:00,117,94000000,32720065
The Drop,R,18658381,2014-09-12 00:00:00,106,12600000,10724389
Drop Dead Gorgeous,PG-13,N/A,1999-07-23 00:00:00,98,15000000,10571408
Drop Zone,R,N/A,1994-12-09 00:00:00,101,45000000,28735315
Drowning Mona,PG-13,15906764,2000-03-03 00:00:00,95,37000000,15506764
Drugstore Cowboy,R,N/A,1989-10-06 00:00:00,100,2500000,4729352
Drumline,PG-13,57588485,2002-12-13 00:00:00,118,20000000,56399184
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
"Dude, Where's My Car?",PG-13,73180723,2000-12-15 00:00:00,83,13000000,46729800
Dudley Do-Right,PG,N/A,1999-08-27 00:00:00,83,70000000,9974410
Due Date,R,211780824,2010-11-05 00:00:00,95,65000000,100539043
Duel in the Sun,Unrated,N/A,1946-12-31 00:00:00,138,8000000,20408163
Duets,R,6620242,2000-09-15 00:00:00,112,21000000,4739023
The DUFF,PG-13,43528634,2015-02-20 00:00:00,101,8500000,34030343
The Dukes of Hazzard,PG-13,111069515,2005-08-05 00:00:00,106,50000000,80270227
Duma,PG,994790,2005-04-22 00:00:00,101,12000000,870067
Dumb and Dumber,PG-13,247275374,1994-12-16 00:00:00,101,17000000,127175374
Dumb and Dumber To,PG-13,169837010,2014-11-14 00:00:00,110,40000000,86208010
Dumb and Dumberer: When Harry Met Lloyd,PG-13,39267515,2003-06-13 00:00:00,96,19000000,26276465
Dumbo,G,N/A,1941-10-23 00:00:00,64,950000,N/A
Dune,PG-13,N/A,1984-12-14 00:00:00,137,40000000,30925690
Dungeons & Dragons,PG-13,33807409,2000-12-08 00:00:00,107,45000000,15220685
Duplex,PG-13,19322135,2003-09-26 00:00:00,97,40000000,9692135
Duplicity,PG-13,78146652,2009-03-20 00:00:00,125,60000000,40572825
Dutch,PG-13,N/A,1991-07-19 00:00:00,107,17000000,4603929
Dysfunctional Friends,Unrated,N/A,2012-02-03 00:00:00,111,5000000,13546
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
E.T.: The Extra-Terrestrial,PG,792910554,1982-06-11 00:00:00,117,10500000,359197037
The Eagle,PG-13,27122040,2011-02-11 00:00:00,114,25000000,19490041
Eagle Eye,PG-13,178066569,2008-09-26 00:00:00,118,80000000,101440743
Earth to Echo,PG,45336704,2014-07-02 00:00:00,91,13000000,38934842
Earthquake,PG,N/A,1974-11-15 00:00:00,123,7000000,79666653
Easy A,PG-13,74952305,2010-09-17 00:00:00,92,8000000,58401464
Easy Rider,R,N/A,1969-07-14 00:00:00,94,360000,N/A
Eat Pray Love,PG-13,204594016,2010-08-13 00:00:00,133,60000000,80574010
Echoes of Innocence,PG-13,N/A,2005-09-09 00:00:00,117,350000,N/A
The Eclipse,R,159852,2010-03-26 00:00:00,88,3000000,133411
Ed Wood,R,N/A,1994-09-30 00:00:00,127,18000000,5887457
Eddie the Eagle,PG-13,24614318,2016-02-26 00:00:00,105,23000000,15638297
Edge of Darkness,R,81124129,2010-01-29 00:00:00,108,80000000,43313890
Edge of Tomorrow,PG-13,370541256,2014-06-06 00:00:00,113,178000000,100206256
Edison,R,4143414,N/A,99,25000000,N/A
EDtv,PG-13,35242897,1999-03-26 00:00:00,124,80000000,22431897
An Education,PG-13,26096852,2009-10-09 00:00:00,95,7500000,12574914
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Eight Below,PG,120455994,2006-02-17 00:00:00,112,40000000,81612565
Eight Legged Freaks,PG-13,45867333,2002-07-17 00:00:00,99,30000000,17322606
El Milagro De Marcelino Pan,Unrated,N/A,2012-10-26 00:00:00,100,3000000,18193
Election,R,N/A,1999-04-23 00:00:00,105,25000000,14902041
Elektra,PG-13,56681566,2005-01-14 00:00:00,97,43000000,24409722
Elf,PG,220443451,2003-11-07 00:00:00,95,33000000,173398518
Elizabethtown,PG,52034889,2005-10-14 00:00:00,123,45000000,26850426
Ella Enchanted,PG,27388767,2004-04-09 00:00:00,95,31000000,22918387
Elysium,R,286140700,2013-08-09 00:00:00,109,115000000,93050117
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Emperor's Club,PG-13,16318449,2002-11-22 00:00:00,109,12500000,14118751
The Emperor's New Groove,G,169327687,2000-12-15 00:00:00,78,100000000,89302687
Empire,R,18591272,2002-12-06 00:00:00,90,4000000,17600423
The Empire Strikes Back,PG,538375067,1980-05-21 00:00:00,129,18000000,209398025
Employee of the Month,PG-13,38368909,2006-10-06 00:00:00,103,12000000,28444855
Enchanted,PG,340487652,2007-11-21 00:00:00,107,85000000,127807262
End of Days,R,211989043,1999-11-24 00:00:00,121,100000000,66889043
The End of the Affair,R,N/A,1999-12-03 00:00:00,102,23000000,10827816
End of the Spear,PG-13,12128105,2006-01-20 00:00:00,111,10000000,11967000
The End of Violence,R,N/A,1997-09-12 00:00:00,122,5000000,386673
End of Watch,R,48126384,2012-09-21 00:00:00,109,7000000,41003371
Ender's Game,PG-13,125537191,2013-11-01 00:00:00,114,110000000,61737191
Endless Love (2014),PG-13,34718173,2014-02-14 00:00:00,103,20000000,23438250
Enemy at the Gates,R,96976270,2001-03-16 00:00:00,131,68000000,51401758
Enemy of the State,R,250649836,1998-11-20 00:00:00,131,90000000,111549836
The English Patient,R,231976425,1996-11-15 00:00:00,162,27000000,78676425
Enough,PG-13,51801187,2002-05-24 00:00:00,111,38000000,40007742
Enter the Void,Unrated,754249,2010-09-24 00:00:00,150,16000000,336467
Entourage,R,49263404,2015-06-03 00:00:00,104,30000000,32363404
Entrapment,PG-13,212404396,1999-04-30 00:00:00,113,66000000,87704396
Envy,PG-13,14581765,2004-04-30 00:00:00,99,40000000,13562325
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Epic,PG,268426634,2013-05-24 00:00:00,102,100000000,107518682
The Equalizer,R,192330738,2014-09-26 00:00:00,128,55000000,101530738
Eragon,PG,249488115,2006-12-15 00:00:00,99,100000000,75030163
Eraser,R,242295562,1996-06-21 00:00:00,115,100000000,101295562
Erin Brockovich,R,256271286,2000-03-17 00:00:00,130,52000000,125595205
Escape From Planet Earth,PG,74597643,2013-02-15 00:00:00,89,40000000,57012977
Eternal Sunshine of the Spotless Mind,R,72258126,2004-03-19 00:00:00,108,20000000,34400301
Eurotrip,R,20796847,2004-02-20 00:00:00,92,25000000,17771387
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Evan Almighty,PG,173418781,2007-06-22 00:00:00,90,175000000,100462298
Eve of Destruction,R,N/A,1991-01-18 00:00:00,100,13000000,5451119
Ever After: A Cinderella Story,PG-13,98005666,1998-07-31 00:00:00,121,26000000,65705771
Everest (2015),PG-13,203427584,2015-09-18 00:00:00,121,55000000,43482270
An Everlasting Piece,R,N/A,2000-12-22 00:00:00,103,14000000,75228
Every Day,R,N/A,2011-01-14 00:00:00,93,3000000,46029
Everybody Wants to Be Italian,R,532726,2008-09-05 00:00:00,103,3000000,351416
Everybody's Fine,PG-13,16443609,2009-12-04 00:00:00,95,21000000,9208876
Everything Must Go,R,2711643,2011-05-13 00:00:00,100,5000000,2711643
"Everything You Always Wanted to Know About Sex, But Were Afraid to Ask",R,N/A,1972-08-06 00:00:00,87,2000000,18016290
Evil Dead (2013),R,97542952,2013-04-05 00:00:00,91,17000000,54239856
Evita,PG,141047179,1996-12-25 00:00:00,130,55000000,50047179
Evolution,PG-13,98376292,2001-06-08 00:00:00,102,80000000,38345494
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Ex Machina,R,36869414,2015-04-10 00:00:00,110,15000000,25442958
eXistenZ,R,N/A,1999-04-23 00:00:00,90,15000000,2856712
Exit Wounds,R,79958599,2001-03-16 00:00:00,101,50000000,51758599
Exodus: Gods and Kings,PG-13,268175631,2014-12-12 00:00:00,150,140000000,65014513
The Exorcism of Emily Rose,PG-13,144216468,2005-09-09 00:00:00,114,19000000,75072454
The Exorcist Director's Cut,R,305288200,2000-09-22 00:00:00,132,11000000,39671011
Exorcist: The Beginning,R,78000586,2004-08-20 00:00:00,114,80000000,41821986
The Expendables,R,274470394,2010-08-13 00:00:00,103,80000000,103068524
The Expendables 2,R,305428192,2012-08-17 00:00:00,102,100000000,85028192
The Exploding Girl,Unrated,N/A,2010-03-12 00:00:00,79,40000,25572
The Express,PG,9808124,2008-10-10 00:00:00,129,40000000,9793406
Extract,R,10848783,2009-09-04 00:00:00,90,8000000,10823158
Extraordinary Measures,PG,15134293,2010-01-22 00:00:00,106,31000000,12068313
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Eye of the Beholder,R,17589705,2000-01-28 00:00:00,109,35000000,16500786
Eye See You (a.k.a. D-TOX),R,6416302,2002-09-20 00:00:00,96,55000000,79161
Eyes of Laura Mars,R,N/A,1978-08-02 00:00:00,104,7000000,20000000
Eyes Wide Shut,R,162091208,1999-07-16 00:00:00,159,65000000,55691208
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Face/Off,R,245676146,1997-06-27 00:00:00,138,80000000,112276146
Facing the Giants,PG,10243159,2006-09-29 00:00:00,111,100000,10178331
The Faculty,R,N/A,1998-12-25 00:00:00,117,15000000,40283321
Fahrenheit 9/11,R,222446882,2004-06-23 00:00:00,116,6000000,119194771
Failure to Launch,PG-13,128406887,2006-03-10 00:00:00,97,50000000,88715192
Fair Game (1995),R,N/A,1995-11-03 00:00:00,91,50000000,11534477
Fair Game (2010),PG-13,24188922,2010-11-05 00:00:00,108,22000000,9540691
Fame (2009),PG,77211836,2009-09-25 00:00:00,107,18000000,22455510
The Family (2013),R,78418811,2013-09-13 00:00:00,112,30000000,36918811
The Family Man,PG-13,124745083,2000-12-22 00:00:00,126,60000000,75793305
The Family Stone,PG-13,92283851,2005-12-16 00:00:00,102,18000000,60062868
