movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Owning Mahowny,R,1176302,2003-05-02 00:00:00,107,10000000,1011871
Oz The Great and Powerful,PG,493311825,2013-03-08 00:00:00,127,215000000,234911825
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
P.S. I Love You,PG-13,156835339,2007-12-21 00:00:00,126,30000000,53695808
Pacific Rim,PG-13,411002906,2013-07-12 00:00:00,131,190000000,101802906
The Pacifier,PG,198636868,2005-03-04 00:00:00,91,56000000,113086868
Paddington,PG,259589684,2015-01-16 00:00:00,95,55000000,76271832
Pain and Gain,R,86175291,2013-04-26 00:00:00,129,26000000,49875291
Pan,PG,128388320,2015-10-09 00:00:00,111,150000000,35088320
Pan's Labyrinth,R,83258226,2006-12-29 00:00:00,112,19000000,37634615
Pandorum,R,20645327,2009-09-25 00:00:00,108,33000000,10330853
Panic,R,N/A,2000-12-01 00:00:00,88,1000000,779137
Panic Room,R,196397415,2002-03-29 00:00:00,112,48000000,96397334
Paper Towns,PG-13,85512300,2015-07-24 00:00:00,109,12000000,32000304
Paradise Now,PG-13,3579902,2005-10-28 00:00:00,90,2000000,1457843
Paranoia,PG-13,13785015,2013-08-16 00:00:00,115,35000000,7385015
Paranormal Activity,R,193355800,2009-09-25 00:00:00,99,15000,107918810
Paranormal Activity 2,R,177512032,2010-10-22 00:00:00,91,3000000,84752907
Paranormal Activity 3,R,207039844,2011-10-21 00:00:00,81,5000000,104028807
Paranormal Activity 4,R,142817992,2012-10-19 00:00:00,95,5000000,53900335
Paranormal Activity: The Ghost Dimension,R,78099553,2015-10-23 00:00:00,95,10000000,18300124
Paranormal Activity: The Marked Ones,R,90904854,2014-01-03 00:00:00,84,5000000,32462372
ParaNorman,PG,107139399,2012-08-17 00:00:00,93,60000000,56003051
Parental Guidance,PG,119772232,2012-12-25 00:00:00,104,25000000,77267296
Parents,R,N/A,1989-01-27 00:00:00,81,3000000,870532
Paris is Burning,R,N/A,1991-08-09 00:00:00,71,500000,3779620
Parker,R,46216641,2013-01-25 00:00:00,118,35000000,17616641
The Passion of the Christ,R,611899420,2004-02-25 00:00:00,126,30000000,370274604
Patch Adams,PG-13,202292902,1998-12-25 00:00:00,115,90000000,135026902
Pathfinder: Legend of the Ghost Warrior,R,30822861,2007-04-13 00:00:00,88,45000000,10232081
The Patriot,R,215294342,2000-06-28 00:00:00,164,110000000,113330342
Patriot Games,R,178051587,1992-06-05 00:00:00,116,45000000,83351587
Patton,PG,N/A,1970-02-04 00:00:00,170,12000000,61749765
Paul,R,97984015,2011-03-18 00:00:00,100,40000000,37412945
Paul Blart: Mall Cop,PG,183293131,2009-01-16 00:00:00,87,26000000,146336178
Paul Blart: Mall Cop 2,PG,107588225,2015-04-17 00:00:00,94,30000000,71038190
Paulie,PG,N/A,1998-04-17 00:00:00,92,23000000,26875268
Pay It Forward,PG-13,55707411,2000-10-20 00:00:00,123,40000000,33519628
Payback,R,161626121,1999-02-05 00:00:00,101,90000000,81526121
Paycheck,PG-13,96269812,2003-12-25 00:00:00,119,60000000,53790451
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Peacemaker,R,110463140,1997-09-26 00:00:00,124,50000000,41263140
The Peanuts Movie,G,246233113,2015-11-06 00:00:00,93,99000000,130178411
The Pearl,Unrated,N/A,2005-07-15 00:00:00,120,8000000,N/A
Pearl Harbor,PG-13,449220945,2001-05-25 00:00:00,183,140000000,198542554
Penguins of Madagascar,PG,373015621,2014-11-26 00:00:00,92,132000000,83350911
People Like Us,PG-13,12434778,2012-06-29 00:00:00,115,16000000,12434778
The People Under the Stairs,R,31347154,1991-11-01 00:00:00,102,6000000,24204154
Percy Jackson & The Olympians: The Lightning Thief,PG,226497209,2010-02-12 00:00:00,120,95000000,88768303
Percy Jackson: Sea of Monsters,PG,199850315,2013-08-07 00:00:00,106,90000000,68559554
The Perez Family,R,N/A,1995-05-12 00:00:00,113,11000000,2832826
A Perfect Couple,PG,N/A,1979-04-06 00:00:00,110,1500000,N/A
Perfect Cr,R,1012639,N/A,N/A,20000000,N/A
