movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Great Mouse Detective,G,N/A,1986-07-04 00:00:00,74,14000000,25336794
The Great New Wonderful,R,172055,2006-06-23 00:00:00,87,500000,150142
The Great Raid,R,10769311,2005-08-12 00:00:00,132,80000000,10167373
The Greatest (2010),R,474129,2010-04-02 00:00:00,N/A,6000000,114766
The Greatest Show on Earth,Unrated,N/A,1952-01-10 00:00:00,152,4000000,36000000
The Green Hornet,PG-13,227817248,2011-01-14 00:00:00,108,120000000,98780042
The Green Inferno,R,7192291,2015-09-25 00:00:00,100,5000000,7192291
Green Lantern,PG-13,219851172,2011-06-17 00:00:00,105,200000000,116601172
The Green Mile,R,286801374,1999-12-10 00:00:00,188,60000000,136801374
Green Zone,R,94882549,2010-03-12 00:00:00,115,100000000,35053660
The Grey,R,77278331,2012-01-27 00:00:00,117,25000000,51580236
Grey Owl,PG-13,N/A,1999-10-01 00:00:00,117,30000000,632617
Gridiron Gang,PG-13,41480851,2006-09-15 00:00:00,120,30000000,38432823
Grind,PG-13,5141166,2003-08-15 00:00:00,100,6000000,5123696
Grindhouse,R,25422088,2007-04-06 00:00:00,191,67000000,25037897
Grown Ups,PG-13,271430189,2010-06-25 00:00:00,102,80000000,162001186
Grown Ups 2,PG-13,246984278,2013-07-12 00:00:00,101,80000000,133668525
The Grudge,PG-13,187281115,2004-10-22 00:00:00,96,10000000,110359362
The Grudge 2,PG-13,70711175,2006-10-13 00:00:00,95,20000000,39143839
Grudge Match,PG-13,44907260,2013-12-25 00:00:00,113,40000000,29807260
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Guard,R,19560274,2011-07-29 00:00:00,96,6000000,5360274
Guardians of the Galaxy,PG-13,773312399,2014-08-01 00:00:00,121,170000000,333176600
Guess Who's Coming to Dinner,Unrated,N/A,1967-12-11 00:00:00,108,4000000,56666667
The Guilt Trip,PG-13,41863726,2012-12-19 00:00:00,95,40000000,37134215
Gulliver's Travels,PG,237382724,2010-12-25 00:00:00,85,112000000,42779261
Gun Shy,R,3221280,2000-02-04 00:00:00,102,14000000,1638202
The Gunman,R,10664749,2015-03-20 00:00:00,115,40000000,10664749
The Guns of Navarone,PG,N/A,1961-06-22 00:00:00,158,6000000,N/A
A Guy Thing,PG-13,17432163,2003-01-17 00:00:00,101,20000000,15545431
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
"Hail, Caesar!",PG-13,61890262,2016-02-05 00:00:00,100,22000000,30080225
Hair,PG,N/A,1979-03-14 00:00:00,121,11000000,15284643
The Half Life of Timofey Berezin (a.k.a. P,R,N/A,N/A,97,5000000,N/A
Hall Pass,R,83160734,2011-02-25 00:00:00,98,36000000,45060734
Halloween,R,47000000,1978-10-25 00:00:00,91,325000,47000000
Halloween 4: The Return of Michael Myers,R,N/A,1988-10-21 00:00:00,88,5000000,17768757
Halloween 5,R,N/A,1989-10-13 00:00:00,96,5000000,11642254
Halloween II (2009),R,39421467,2009-08-28 00:00:00,101,15000000,33392973
Halloween: H20,R,N/A,1998-08-07 00:00:00,86,17000000,55041738
Halloween: Resurrection,R,37664855,2002-07-12 00:00:00,94,13000000,30354442
