movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Kingdom,R,86658558,2007-09-28 00:00:00,110,70000000,47536778
Kingdom Come,PG,23396049,2001-04-11 00:00:00,94,7000000,23249649
Kingdom of Heaven,R,211652051,2005-05-06 00:00:00,145,130000000,47398413
Kingsman: The Secret Service,R,414351546,2015-02-13 00:00:00,129,81000000,128261724
Kinsey,R,16918723,2004-11-12 00:00:00,124,11000000,10254979
"Kiss Kiss, Bang Bang",R,15785148,2005-10-21 00:00:00,102,15000000,4243756
Kiss of the Dragon,R,64437847,2001-07-06 00:00:00,98,25000000,36845124
Kiss the Girls,R,N/A,1997-10-03 00:00:00,117,27000000,60527873
Kissing Jessica Stein,R,10013424,2002-03-13 00:00:00,96,1000000,7025722
Kit Kittredge: An American Girl,G,17657973,2008-06-20 00:00:00,101,10000000,17657973
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Knight & Day,PG-13,261930436,2010-06-23 00:00:00,130,117000000,76423035
A Knight's Tale,PG-13,117487473,2001-05-11 00:00:00,132,65000000,56569702
Knocked Up,R,219076518,2007-06-01 00:00:00,129,30000000,148768917
Knowing,PG-13,183593586,2009-03-20 00:00:00,122,50000000,79957634
Krampus,PG-13,61548707,2015-12-04 00:00:00,98,15000000,42725475
Krrish,Unrated,18039685,2006-06-30 00:00:00,154,10200000,1430721
Kundun,PG-13,N/A,1997-12-25 00:00:00,128,28000000,5684789
Kung Fu Hustle,R,100914445,2005-04-08 00:00:00,95,20000000,17108591
Kung Fu Panda,PG,631744560,2008-06-06 00:00:00,91,130000000,215434591
Kung Fu Panda 2,PG,665692281,2011-05-26 00:00:00,91,150000000,165249063
Kung Pow! Enter the Fist,PG-13,16994625,2002-01-25 00:00:00,81,10000000,16037962
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
La Vie en Rose,PG-13,86274793,2007-06-08 00:00:00,136,25000000,10301706
Labor Day,PG-13,20275812,2014-01-31 00:00:00,111,18000000,13371528
The Ladies Man,R,13743212,2000-10-13 00:00:00,84,24000000,13616610
Lady and the Tramp,G,N/A,1955-06-22 00:00:00,75,4000000,36359037
Lady in the Water,PG-13,72785169,2006-07-21 00:00:00,110,70000000,42285169
The Ladykillers,R,76747441,2004-03-26 00:00:00,104,35000000,39799191
The Lair of the White Worm,R,N/A,1988-10-21 00:00:00,93,2500000,1189315
The Lake House,PG,114830111,2006-06-16 00:00:00,105,40000000,52330111
Lake Placid,R,56870414,1999-07-16 00:00:00,82,35000000,31770414
Lakeview Terrace,PG-13,44653637,2008-09-19 00:00:00,110,20000000,39263506
Land of the Lost,PG-13,68777554,2009-06-05 00:00:00,93,100000000,49438370
Lara Croft Tomb Raider: The Cradle of Life,PG-13,156505388,2003-07-25 00:00:00,110,95000000,65660196
Lara Croft: Tomb Raider,PG-13,274703340,2001-06-15 00:00:00,100,115000000,131168070
Larry Crowne,PG-13,72008245,2011-07-01 00:00:00,99,30000000,35608245
Lars and the Real Girl,PG-13,11293663,2007-10-12 00:00:00,106,12000000,5972884
Last Action Hero,PG-13,137298489,1993-06-18 00:00:00,131,85000000,50016394
The Last Airbender,PG,319713881,2010-07-01 00:00:00,103,150000000,131772187
The Last Castle,R,27642707,2001-10-19 00:00:00,133,72000000,18244060
The Last Exorcism,PG-13,67738090,2010-08-27 00:00:00,100,1800000,41034350
The Last Exorcism Part II,PG-13,15179302,2013-03-01 00:00:00,88,5000000,15179302
The Last Godfather,PG-13,16750830,2011-04-01 00:00:00,100,13400000,164247
Last Holiday,PG-13,43343248,2006-01-13 00:00:00,112,45000000,38399961
The Last King of Scotland,R,48363516,2006-09-27 00:00:00,123,6000000,17606684
The Last Kiss (2006),R,15852401,2006-09-15 00:00:00,104,20000000,11614790
Last Man Standing,R,47267001,1996-09-20 00:00:00,101,67000000,18115927
The Last Mistress,Unrated,1831577,2008-06-27 00:00:00,109,6000000,785671
The Last of the Mohicans,R,N/A,1992-09-25 00:00:00,112,40000000,75505856
The Last Samurai,R,456758981,2003-12-05 00:00:00,154,140000000,111127263
The Last Sin Eater,PG-13,N/A,2007-02-09 00:00:00,117,2200000,388390
The Last Song,PG,89041656,2010-03-31 00:00:00,107,20000000,62950384
The Last Stand,R,48330757,2013-01-18 00:00:00,107,45000000,12050299
The Last Station,R,13550772,2010-01-15 00:00:00,112,18000000,6617867
Last Tango in Paris,X,N/A,1973-01-27 00:00:00,129,1250000,36144000
The Last Time I Committed Suicide,R,N/A,1997-06-20 00:00:00,92,4000000,46362
Last Vegas,PG-13,134402450,2013-11-01 00:00:00,90,28000000,63914167
The Last Witch Hunter,PG-13,140396650,2015-10-23 00:00:00,106,90000000,27367660
Law Abiding Citizen,R,126690726,2009-10-16 00:00:00,108,50000000,73357727
Lawn Dogs,R,N/A,1998-05-15 00:00:00,101,8000000,106404
The Lawnmower Man,R,N/A,1992-03-06 00:00:00,107,10000000,32100816
Laws of Attraction,PG-13,30016165,2004-04-30 00:00:00,87,32000000,17871255
The Lazarus Effect,PG-13,64110728,2015-02-27 00:00:00,83,3300000,25801047
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The League of Extraordinary Gentlemen,PG-13,179265204,2003-07-11 00:00:00,112,78000000,66465204
A League of Their Own,PG,132440069,1992-07-01 00:00:00,128,40000000,107533928
Leap Year,PG,32607316,2010-01-08 00:00:00,97,19000000,25918920
Leatherheads,PG-13,41299492,2008-04-04 00:00:00,114,58000000,31373938
Leave It to Beaver,PG,N/A,1997-08-22 00:00:00,88,15000000,10925060
Leaves of Grass,R,1018753,2010-09-17 00:00:00,105,9000000,70066
Lee Daniels' The Butler,PG-13,176598908,2013-08-16 00:00:00,132,30000000,116632095
Left Behind (2014),PG-13,19682924,2014-10-03 00:00:00,105,16000000,14019924
The Legacy,R,N/A,1979-09-14 00:00:00,102,2500000,11364985
Legally Blonde,PG-13,141774679,2001-07-13 00:00:00,96,18000000,96520674
"Legally Blonde 2: Red, White and Blonde",PG-13,124914842,2003-07-02 00:00:00,95,45000000,90186328
The Legend of Bagger Vance,PG-13,39459427,2000-11-03 00:00:00,127,80000000,30919168
The Legend of Drunken Master,R,N/A,2000-10-20 00:00:00,102,10000000,11555430
