movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Finding Neverland,PG,116766556,2004-11-12 00:00:00,101,25000000,51680613
Fired Up,PG-13,18599102,2009-02-20 00:00:00,90,20000000,17231291
Fireflies in the Garden,R,3393161,2011-10-14 00:00:00,N/A,8000000,70600
Fireproof,PG,33473297,2008-09-26 00:00:00,122,500000,33456317
Firestorm,R,N/A,1998-01-09 00:00:00,89,19000000,8165212
First Blood,R,125212904,1982-10-22 00:00:00,96,15000000,47212904
"First Love, Last Rites",R,N/A,1998-08-07 00:00:00,94,300000,42953
First Morning,PG-13,N/A,2005-07-15 00:00:00,90,300000,87264
Fish Tank,Unrated,2357852,2010-01-15 00:00:00,123,3000000,374675
The Five-Year Engagement,R,53909751,2012-04-27 00:00:00,124,30000000,28835528
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Flags of Our Fathers,R,65900249,2006-10-20 00:00:00,132,90000000,33602376
Flicka,PG,21893591,2006-10-20 00:00:00,100,15000000,21000147
Flight,R,161772375,2012-11-02 00:00:00,139,31000000,93772375
Flight of the Intruder,PG-13,N/A,1991-01-18 00:00:00,114,35000000,14587732
Flight of the Phoenix,PG-13,34586268,2004-12-17 00:00:00,120,45000000,21009180
The Flintstones,PG,341631208,1994-05-27 00:00:00,91,46000000,130531208
The Flintstones in Viva Rock Vegas,PG,59468275,2000-04-28 00:00:00,91,83000000,35268275
Flipped,PG,N/A,2010-08-06 00:00:00,90,14000000,1755212
Flushed Away,PG,178120010,2006-11-03 00:00:00,86,149000000,64665672
Fly Me to the Moon,G,41721414,2008-08-15 00:00:00,87,25000000,13816982
Flyboys,PG-13,17834865,2006-09-22 00:00:00,120,60000000,13090630
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Focus (2015),R,159062963,2015-02-27 00:00:00,104,50100000,53862963
The Fog (2005),PG-13,46201432,2005-10-14 00:00:00,100,18000000,29550869
Following,R,N/A,1999-04-02 00:00:00,69,6000,48482
Fool's Gold,PG-13,111231041,2008-02-08 00:00:00,110,70000000,70231041
Footloose,PG,N/A,1984-02-17 00:00:00,107,8199999,80035402
Footloose (2011),PG-13,63543328,2011-10-14 00:00:00,113,24000000,51802742
For Colored Girls,R,37747016,2010-11-05 00:00:00,120,21000000,37729698
For Love of the Game,PG-13,46112640,1999-09-17 00:00:00,137,80000000,35188640
For Love or Money,PG,N/A,1993-10-01 00:00:00,96,30000000,11146270
