movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Mrs. Palfrey at the Claremont,Unrated,3919275,2005-11-25 00:00:00,105,750000,1720953
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Much Ado About Nothing,PG-13,N/A,1993-05-07 00:00:00,110,11000000,22549338
The Mudge Boy,R,N/A,2004-05-07 00:00:00,94,800000,62852
The Mummy,PG-13,415933406,1999-05-07 00:00:00,124,80000000,155385488
The Mummy Returns,PG-13,433013274,2001-05-04 00:00:00,130,98000000,202019785
The Mummy: Tomb of the Dragon Emperor,PG-13,401128639,2008-08-01 00:00:00,114,145000000,102491776
Munich,R,130358911,2005-12-23 00:00:00,164,70000000,47403685
The Muppet Christmas Carol,G,N/A,1992-12-11 00:00:00,85,12000000,27281507
The Muppets,PG,165184237,2011-11-23 00:00:00,120,45000000,88631237
Muppets from Space,G,22323612,1999-07-14 00:00:00,88,24000000,16625807
Muppets Most Wanted,PG,80383290,2014-03-21 00:00:00,112,50000000,51183113
Murder by Numbers,R,56714147,2002-04-19 00:00:00,120,50000000,31945749
Muriel's Wedding,R,15482277,1995-03-10 00:00:00,105,9000000,15119639
The Muse,PG-13,11614954,1999-08-27 00:00:00,97,15000000,11614954
Music of the Heart,PG,14859394,1999-10-29 00:00:00,123,27000000,14859394
The Musketeer,PG-13,34585771,2001-09-07 00:00:00,104,40000000,27073640
Must Love Dogs,PG-13,58405313,2005-07-29 00:00:00,98,30000000,43894863
Mutiny on the Bounty (1962),Unrated,N/A,1962-11-08 00:00:00,178,19000000,N/A
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
My Baby's Daddy,PG-13,18490423,2004-01-09 00:00:00,86,12000000,17669317
My Best Friend's Girl,R,41622502,2008-09-19 00:00:00,101,20000000,19219250
My Best Friend's Wedding,PG-13,299288605,1997-06-20 00:00:00,105,38000000,127120029
My Big Fat Greek Wedding,PG,368744044,2002-04-19 00:00:00,95,5000000,241438208
My Bloody Valentine 3-D,R,100734718,2009-01-16 00:00:00,101,15000000,51545952
My Bollywood Bride,PG-13,N/A,2007-06-08 00:00:00,94,2000000,N/A
My Boss's Daughter,PG-13,18191005,2003-08-22 00:00:00,86,14000000,15550605
My Date with Drew,PG,262770,2005-08-05 00:00:00,90,1100,181041
My Dog Skip,PG,35547761,2000-01-14 00:00:00,95,6000000,34134641
My Fair Lady,G,N/A,1964-10-21 00:00:00,170,17000000,72000000
My Favorite Martian,PG,N/A,1999-02-12 00:00:00,80,65000000,36850101
My First Mister,R,568762,2001-10-12 00:00:00,109,5250000,568762
My Girl,PG,N/A,1991-11-27 00:00:00,102,17000000,59489799
My Sister's Keeper,PG-13,95714875,2009-06-26 00:00:00,106,30000000,49200230
My Soul to Take,R,20976402,2010-10-08 00:00:00,107,25000000,14744435
Mystery Men,PG,33461011,1999-08-06 00:00:00,122,68000000,29762011
"Mystery, Alaska",R,N/A,1999-10-01 00:00:00,119,28000000,8891623
Mystic River,R,156822020,2003-10-08 00:00:00,138,25000000,90135191
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
N'Secure,R,N/A,2010-10-15 00:00:00,109,1600000,2595644
Nacho Libre,PG,99255460,2006-06-16 00:00:00,100,35000000,80197993
The Naked Gun 2 1/2: The Smell of Fear,PG-13,N/A,1991-06-28 00:00:00,85,23000000,86930411
The Naked Gun 33 1/3: The Final Insult,PG-13,N/A,1994-03-18 00:00:00,82,30000000,51132598
The Namesake,PG-13,20138836,2007-03-09 00:00:00,122,9500000,13569248
Nanny McPhee,PG,122489822,2006-01-27 00:00:00,98,25000000,47144110
Nanny McPhee Returns,PG,93251121,2010-08-20 00:00:00,100,35000000,29011215
Napoleon Dynamite,PG,46118097,2004-06-11 00:00:00,86,400000,44540956
Narc,R,12633747,2002-12-20 00:00:00,102,6500000,10465659
National Lampoon's Van Wilder,R,38275483,2002-04-05 00:00:00,92,5000000,21305259
National Treasure,PG,347512318,2004-11-19 00:00:00,131,100000000,173008894
The Nativity Story,PG,46432264,2006-12-01 00:00:00,100,35000000,37629831
Natural Born Killers,R,N/A,1994-08-26 00:00:00,182,34000000,50282766
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Near Dark,R,N/A,1987-10-02 00:00:00,95,5000000,3369307
Nebraska,R,27682872,2013-11-15 00:00:00,110,12000000,17654912
Need for Speed,PG-13,203277636,2014-03-14 00:00:00,130,66000000,43577636
Neighbors,R,270665134,2014-05-09 00:00:00,96,18000000,150157400
Network,R,N/A,1976-11-27 00:00:00,120,3800000,23689877
