movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
28 Days,PG-13,62198945,2000-04-14 00:00:00,103,43000000,37170488
28 Days Later,R,82719885,2003-06-27 00:00:00,113,8000000,45064915
3 Days to Kill,PG-13,52597999,2014-02-21 00:00:00,117,28000000,30697999
3 Strikes,R,N/A,2000-03-03 00:00:00,82,3400000,9832166
30 Days of Night,R,75505973,2007-10-19 00:00:00,113,30000000,39568996
30 Minutes or Less,R,40547440,2011-08-12 00:00:00,83,28000000,37053924
300,R,456068181,2007-03-09 00:00:00,117,65000000,210614939
3000 Miles to Graceland,R,18720175,2001-02-23 00:00:00,125,62000000,15749959
300: Rise of An Empire,R,337580051,2014-03-07 00:00:00,102,110000000,106580051
3:10 to Yuma (2007),R,70016220,2007-09-07 00:00:00,117,55000000,53606916
The 40-Year-Old Virgin,R,177378645,2005-08-19 00:00:00,116,26000000,109449237
42,PG-13,N/A,2013-04-12 00:00:00,128,40000000,95020213
47 Ronin,PG-13,151783839,2013-12-25 00:00:00,127,175000000,38362475
5 Days of War,R,17479,2011-08-19 00:00:00,113,12000000,17479
50 First Dates,PG-13,196482882,2004-02-13 00:00:00,96,75000000,120908074
50/50,R,39187783,2011-09-30 00:00:00,99,8000000,35014192
The 5th Wave,PG-13,107432384,2016-01-22 00:00:00,112,38000000,34650223
The 6th Day,PG-13,96085477,2000-11-17 00:00:00,124,82000000,34604280
8 Mile,R,242875078,2002-11-08 00:00:00,118,41000000,116750901
8MM,R,96618699,1999-02-26 00:00:00,124,40000000,36663315
9,PG-13,48428063,2009-09-09 00:00:00,79,30000000,31749894
90 Minutes in Heaven,PG-13,N/A,2015-09-11 00:00:00,121,5000000,4842699
99 Homes,R,1411927,2015-09-25 00:00:00,112,8000000,1411927
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The A-Team,PG-13,177238796,2010-06-11 00:00:00,117,110000000,77222099
A.I. Artificial Intelligence,PG-13,235926552,2001-06-29 00:00:00,145,100000000,78616689
Abandon,PG-13,12302219,2002-10-18 00:00:00,99,25000000,10727683
Abduction,PG-13,82087155,2011-09-23 00:00:00,106,35000000,28087155
About a Boy,PG-13,130549455,2002-05-17 00:00:00,100,30000000,41385278
About Last Night (2014),R,49002684,2014-02-14 00:00:00,100,12500000,48637684
About Schmidt,R,105834556,2002-12-13 00:00:00,124,30000000,65016287
Abraham Lincoln: Vampire Hunter,R,116471580,2012-06-22 00:00:00,105,69000000,37519139
Accepted,PG-13,38505009,2006-08-18 00:00:00,90,23000000,36323505
Ace Ventura: Pet Detective,PG-13,107217396,1994-02-04 00:00:00,87,15000000,72217396
Act of Valor,R,81272766,2012-02-24 00:00:00,111,12000000,70012847
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Adaptation.,R,32801173,2002-12-06 00:00:00,114,19000000,22498520
The Addams Family,PG-13,191502426,1991-11-22 00:00:00,102,30000000,113502426
The Adjustment Bureau,PG-13,127869379,2011-03-04 00:00:00,99,50200000,62495645
Admission,PG-13,18007317,2013-03-22 00:00:00,117,13000000,18007317
The Adventures of Baron Munchausen,PG,N/A,1989-03-10 00:00:00,125,46630000,8083123
The Adventures of Elmo in Grouchland,G,N/A,1999-10-01 00:00:00,77,26000000,11683047
The Adventures of Pluto Nash,PG-13,7103973,2002-08-16 00:00:00,95,100000000,4420080
The Adventures of Rocky & Bullwinkle,PG,35134820,2000-06-30 00:00:00,92,76000000,26005820
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Aeon Flux,PG-13,52304001,2005-12-02 00:00:00,95,62000000,25874337
Affliction,R,N/A,1998-12-30 00:00:00,115,6000000,6330054
After Earth,PG-13,243843127,2013-05-31 00:00:00,100,130000000,60522097
After the Sunset,PG-13,61347797,2004-11-12 00:00:00,98,60000000,28331233
The Age of Innocence,PG,N/A,1993-09-17 00:00:00,138,34000000,32255440
Agent Cody Banks,PG,58795814,2003-03-14 00:00:00,110,28000000,47938330
Agent Cody Banks 2: Destination London,PG,28818995,2004-03-12 00:00:00,101,26000000,23630159
Agora,R,39041505,2010-05-28 00:00:00,127,70000000,619423
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Air Force One,R,315156409,1997-07-25 00:00:00,124,85000000,172956409
Airplane!,PG,N/A,1980-06-27 00:00:00,88,3500000,83453539
Airport,G,N/A,1970-03-05 00:00:00,137,10000000,100489151
Ajami,Unrated,1291848,2010-02-03 00:00:00,120,1000000,622403
Akeelah and the Bee,PG,18948425,2006-04-28 00:00:00,112,8000000,18848430
Aladdin,G,504050219,1992-11-13 00:00:00,90,28000000,217350219
The Alamo (2004),PG-13,25819961,2004-04-09 00:00:00,137,107000000,22414961
Albino Alligator,R,N/A,1997-01-17 00:00:00,94,6000000,339379
Alex and Emma,PG-13,15368897,2003-06-20 00:00:00,100,30000000,14218698
Alex Cross,PG-13,34588412,2012-10-19 00:00:00,101,35000000,25888412
Alexander,R,167298192,2004-11-24 00:00:00,176,155000000,34297191
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,101379287,2014-10-10 00:00:00,81,28000000,66954149
Alfie,R,35150546,2004-11-05 00:00:00,102,60000000,13399812
Ali,R,87713825,2001-12-25 00:00:00,156,107000000,58203105
Alice in Wonderland (2010),PG,1025467110,2010-03-05 00:00:00,109,200000000,334191110
Alien,R,104931801,1979-05-25 00:00:00,117,11000000,78944891
Alien 3,R,159814498,1992-05-22 00:00:00,114,50000000,55473545
Alien Resurrection,R,161376068,1997-11-26 00:00:00,109,75000000,47795658
Alien Vs. Predator,PG-13,172544654,2004-08-13 00:00:00,87,60000000,80282231
Aliens in the Attic,PG,57881056,2009-07-31 00:00:00,86,45000000,25200412
All About the Benjamins,R,26306533,2002-03-08 00:00:00,95,15000000,25916319
All or Nothing,R,201546,2002-10-25 00:00:00,128,9000000,201546
All Quiet on the Western Front,Unrated,N/A,1930-04-21 00:00:00,132,1200000,N/A
All the King's Men,PG-13,9450897,2006-09-22 00:00:00,141,55000000,7221458
All the Pretty Horses,PG-13,18133495,2000-12-25 00:00:00,117,57000000,15540353
All the Queen's Men,Unrated,N/A,2002-10-25 00:00:00,105,15000000,23662
Almost Famous,R,47383689,2000-09-15 00:00:00,122,60000000,32534850
Almost You,R,N/A,1985-03-29 00:00:00,96,1000000,95000
Aloha,PG-13,26250020,2015-05-29 00:00:00,105,37000000,21067116
Alone in the Dark,R,10442808,2005-01-28 00:00:00,96,20000000,5178569
Alone Yet Not Alone,PG-13,N/A,2013-09-27 00:00:00,103,7000000,887851
Along Came a Spider,R,105178561,2001-04-06 00:00:00,103,60000000,74078174
Along Came Polly,PG-13,171963386,2004-01-16 00:00:00,90,42000000,88097164
Alvin and the Chipmunks,PG,361336633,2007-12-14 00:00:00,92,60000000,217326974
Alvin and the Chipmunks: Chipwrecked,G,342695435,2011-12-16 00:00:00,87,75000000,133110742
Alvin and the Chipmunks: The Squeakquel,PG,443140005,2009-12-23 00:00:00,88,75000000,219614612
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Amazing Spider-Man,PG-13,757930663,2012-07-03 00:00:00,136,230000000,262030663
Amelia,PG,19642013,2009-10-23 00:00:00,120,40000000,14245415
Amelie,R,173921954,2001-11-02 00:00:00,122,10000000,33225499
America's Sweethearts,PG-13,138191428,2001-07-20 00:00:00,102,46000000,93607673
The American,R,67876281,2010-09-01 00:00:00,105,20000000,35606376
American Beauty,R,356296601,1999-09-15 00:00:00,122,15000000,130096601
An American Carol,PG-13,N/A,2008-10-03 00:00:00,83,20000000,7013191
American Dreamz,PG-13,16458459,2006-04-21 00:00:00,107,17000000,7191830
American Gangster,R,266465037,2007-11-02 00:00:00,160,100000000,130164645
An American Haunting,PG-13,29612137,2006-05-05 00:00:00,90,14000000,16298046
American History X,R,23875127,1998-10-30 00:00:00,127,20000000,6719864
American Hustle,R,251171807,2013-12-13 00:00:00,138,40000000,150117807
American Pie,R,235483004,1999-07-09 00:00:00,95,11000000,102561004
