movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Sucker Punch,PG-13,89792502,2011-03-25 00:00:00,120,82000000,36392502
Sugar & Spice,PG-13,16908947,2001-01-26 00:00:00,84,27000000,13305101
Suicide Kings,R,N/A,1998-04-17 00:00:00,106,5000000,1740156
The Sum of All Fears,PG-13,193921372,2002-05-31 00:00:00,118,68000000,118907036
Summer Catch,PG-13,19772447,2001-08-24 00:00:00,104,34000000,19753553
Summer of Sam,R,N/A,1999-07-02 00:00:00,142,22000000,19288130
Sunset,R,N/A,1988-04-29 00:00:00,106,16000000,4594452
Super,R,327716,2011-04-01 00:00:00,90,2500000,327716
The Super,R,N/A,1991-10-04 00:00:00,95,22000000,11000863
Super 8,PG-13,260095986,2011-06-10 00:00:00,112,50000000,127004179
Super Mario Bros.,PG,N/A,1993-05-28 00:00:00,104,48000000,20915465
Super Size Me,PG-13,20641054,2004-05-07 00:00:00,98,65000,11536423
Super Troopers,R,23182223,2002-02-15 00:00:00,103,3000000,18492362
Superbad,R,169871719,2007-08-17 00:00:00,114,20000000,121463226
Superman,PG,300218018,1978-12-15 00:00:00,143,55000000,134218018
Superman II,PG,N/A,1981-06-19 00:00:00,128,54000000,108185706
Superman IV: The Quest for Peace,PG,N/A,1987-07-24 00:00:00,90,17000000,15681020
Superman Returns,PG-13,391081192,2006-06-28 00:00:00,154,270000000,200081192
Supernova,PG-13,14828081,2000-01-14 00:00:00,91,90000000,14230455
Superstar,PG-13,N/A,1999-10-08 00:00:00,82,34000000,30636478
"Surfer, Dude",R,52132,2008-09-05 00:00:00,88,6000000,52132
Surrogates,PG-13,122444772,2009-09-25 00:00:00,89,80000000,38577772
Surviving Picasso,R,N/A,1996-09-20 00:00:00,125,16000000,2021348
Suspect Zero,R,11416075,2004-08-27 00:00:00,100,27000000,8725813
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Swamp Thing,PG,N/A,1982-03-19 00:00:00,91,3000000,N/A
Sweeney Todd: The Demon Barber of Fleet Street,R,152523164,2007-12-21 00:00:00,116,50000000,52898073
Sweet Home Alabama,PG-13,180622424,2002-09-27 00:00:00,102,30000000,127223418
Sweet Land,PG,1774931,2006-10-13 00:00:00,110,1000000,1706325
The Sweetest Thing,R,68696770,2002-04-12 00:00:00,84,43000000,24718164
Swept Away,R,598645,2002-10-11 00:00:00,90,10000000,598645
SwimFan,PG-13,34411240,2002-09-06 00:00:00,86,10000000,28564995
Swing Vote,PG-13,17634313,2008-08-01 00:00:00,100,21000000,16289867
Swingers,R,N/A,1996-10-18 00:00:00,96,200000,4555020
The Switch,PG-13,49830607,2010-08-20 00:00:00,100,19000000,27779426
Swordfish,R,147080413,2001-06-08 00:00:00,99,102000000,69772969
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
"Synecdoche, New York",R,4393681,2008-10-24 00:00:00,124,20000000,3083538
Syriana,R,93974620,2005-11-23 00:00:00,126,50000000,50824620
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Tailor of Panama,R,28008462,2001-03-30 00:00:00,109,21000000,13729742
Take Shelter,R,3099314,2011-09-30 00:00:00,120,5000000,1730296
Taken,PG-13,226830568,2009-01-30 00:00:00,93,25000000,145000989
Taken 2,PG-13,376141306,2012-10-05 00:00:00,91,45000000,139854287
Taken 3,PG-13,326479141,2015-01-09 00:00:00,109,48000000,89256424
Takers,PG-13,69055695,2010-08-27 00:00:00,107,32000000,57744720
Taking Lives,R,65470529,2004-03-19 00:00:00,100,45000000,32682342
The Taking of Beverly Hills,R,N/A,1991-10-11 00:00:00,96,19000000,939277
The Taking of Pelham 1 2 3,R,150166126,2009-06-12 00:00:00,121,100000000,65452312
Taking Woodstock,R,9975737,2009-08-26 00:00:00,121,30000000,7460204
The Tale of Despereaux,G,86947965,2008-12-19 00:00:00,87,60000000,50877145
The Talented Mr. Ripley,R,128798265,1999-12-25 00:00:00,139,40000000,81298265
Tall Tale,PG,11047627,1995-03-24 00:00:00,97,32000000,8247627
Talladega Nights: The Ballad of Ricky Bobby,PG-13,162966177,2006-08-04 00:00:00,110,72500000,148213377
Tamara,R,N/A,2006-02-03 00:00:00,98,3500000,206871
Tammy,R,100525432,2014-07-02 00:00:00,96,20000000,84525432
Tangled,PG,591794936,2010-11-24 00:00:00,100,260000000,200821936
Tank Girl,R,N/A,1995-03-31 00:00:00,103,25000000,4064495
Tarnation,Unrated,592014,2004-10-06 00:00:00,88,220,592014
Tarzan,G,448191819,1999-06-16 00:00:00,88,130000000,171091819
Taxi,PG-13,68895435,2004-10-06 00:00:00,97,25000000,36611066
Taxi 3,Unrated,65497208,2003-05-30 00:00:00,84,1300000,497208
The Taxman,R,N/A,1999-09-17 00:00:00,104,3500000,9871
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Tea with Mussolini,PG,N/A,1999-05-14 00:00:00,117,12000000,14401563
Teaching Mrs. Tingle,PG-13,N/A,1999-08-20 00:00:00,95,13000000,8951935
Team America: World Police,R,50907422,2004-10-15 00:00:00,105,32000000,32786074
Tears of the Sun,R,86468162,2003-03-07 00:00:00,118,75000000,43734876
Ted,R,549368315,2012-06-29 00:00:00,106,50000000,218815487
Ted 2,R,216691733,2015-06-26 00:00:00,115,68000000,81476385
Teenage Mutant Ninja Turtles,PG,201965915,1990-03-30 00:00:00,93,13500000,135265915
Teenage Mutant Ninja Turtles (2014),PG-13,493333584,2014-08-08 00:00:00,101,125000000,191204754
Teenage Mutant Ninja Turtles II,PG,N/A,1991-03-22 00:00:00,88,25000000,78656813
Teenage Mutant Ninja Turtles III,PG,N/A,1993-03-19 00:00:00,95,21000000,42273609
Telling Lies in America,PG-13,N/A,1997-10-17 00:00:00,101,4000000,318809
The Tempest,PG-13,346594,2010-12-10 00:00:00,110,20000000,277943
Tenacious D in: The Pick of Destiny,R,13908762,2006-11-22 00:00:00,90,20000000,8334575
The Terminal,PG-13,219417255,2004-06-18 00:00:00,128,60000000,77872883
Terminal Velocity,PG-13,N/A,1994-09-23 00:00:00,102,50000000,16487349
The Terminator,R,78371200,1984-10-26 00:00:00,107,6400000,38371200
Terminator 2: Judgment Day,R,519843345,1991-07-03 00:00:00,137,102000000,204843345
Terminator 3: Rise of the Machines,R,433371112,2003-07-02 00:00:00,109,200000000,150371112
Terminator Salvation,PG-13,371353001,2009-05-21 00:00:00,114,200000000,125322469
Terminator: Genisys,PG-13,440603537,2015-07-01 00:00:00,126,155000000,89760956
Terms of Endearment,PG,N/A,1983-11-23 00:00:00,131,8000000,108423489
The Texas Chainsaw Massacre,R,107071655,2003-10-17 00:00:00,90,9500000,80571655
The Texas Chainsaw Massacre 2,R,N/A,1986-08-22 00:00:00,89,4700000,8025872
The Texas Chainsaw Massacre: The Beginning,R,51764406,2006-10-06 00:00:00,84,16000000,39517763
Texas Rangers (2001),PG-13,623374,2001-11-30 00:00:00,93,38000000,623374
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Thank You for Smoking,R,39323027,2006-03-17 00:00:00,92,6500000,24793509
That Awkward Moment,R,40468955,2014-01-31 00:00:00,94,8000000,26068955
That Man: Peter Berlin,Unrated,N/A,2006-01-13 00:00:00,80,65000,55398
That's My Boy,R,57719093,2012-06-15 00:00:00,114,70000000,36931089
Thelma and Louise,R,N/A,1991-05-24 00:00:00,129,16500000,45360915
The Theory of Everything,PG-13,123726688,2014-11-07 00:00:00,123,15000000,35893537
There Be Dragons,PG-13,1069334,2011-05-06 00:00:00,120,36000000,1069334
There Will Be Blood,R,76181545,2007-12-26 00:00:00,158,25000000,40222514
There's Something About Mary,R,369884651,1998-07-15 00:00:00,119,23000000,176484651
The Thin Red Line,R,98126565,1998-12-25 00:00:00,170,52000000,36400491
The Thing (2011),R,27428670,2011-10-14 00:00:00,N/A,38000000,16928670
The Thing Called Love,PG-13,N/A,1993-08-27 00:00:00,116,14000000,1029721
Think Like a Man,PG-13,96070507,2012-04-20 00:00:00,122,12000000,91547205
Think Like a Man Too,PG-13,70181428,2014-06-20 00:00:00,106,24000000,65182182
Thirteen,R,10128960,2003-08-20 00:00:00,95,2000000,4601043
Thirteen Days,PG-13,66579890,2000-12-22 00:00:00,147,80000000,34592089
Thirteen Ghosts,R,68467960,2001-10-26 00:00:00,91,42000000,41867960
The Thirteenth Floor,R,18564088,1999-05-28 00:00:00,100,16000000,11916661
This Christmas,PG-13,49778552,2007-11-21 00:00:00,117,13000000,49121934
This Is 40,R,88058786,2012-12-21 00:00:00,133,35000000,67544505
This is the End,R,126041322,2013-06-12 00:00:00,107,32000000,101470202
This is Where I Leave You,R,41296320,2014-09-19 00:00:00,103,19800000,34296320
This Means War,PG-13,156491279,2012-02-17 00:00:00,97,65000000,54760791
The Thomas Crown Affair,R,124305181,1999-08-06 00:00:00,113,48000000,69305181
Thor,PG-13,449326618,2011-05-06 00:00:00,115,150000000,181030624
Thor: The Dark World,PG-13,644602516,2013-11-08 00:00:00,120,170000000,206362140
A Thousand Words,PG-13,22044277,2012-03-09 00:00:00,91,40000000,18450127
Thr3e,PG-13,1420418,2007-01-05 00:00:00,101,2400000,1008849
The Three Burials of Melquiades Estrada,R,9045364,2005-12-14 00:00:00,121,15000000,5027684
Three Kings,R,107752036,1999-10-01 00:00:00,114,75000000,60652036
Three Men and a Baby,PG,N/A,1987-11-25 00:00:00,102,11000000,167780960
The Three Musketeers (2011),PG-13,132274484,2011-10-21 00:00:00,110,75000000,20374484
The Three Stooges,PG,54819301,2012-04-13 00:00:00,92,30000000,44338224
Three to Tango,PG-13,N/A,1999-10-22 00:00:00,98,20000000,10570375
Thunderbirds,PG,28283637,2004-07-30 00:00:00,95,57000000,6880917
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Tigger Movie,G,96159800,2000-02-11 00:00:00,77,30000000,45554533
Time Changer,PG,N/A,2002-10-25 00:00:00,99,825000,1285167
Time Code,R,1431406,2000-04-28 00:00:00,97,5000000,1057750
The Time Machine,PG-13,123729176,2002-03-08 00:00:00,96,80000000,56832494
The Time Traveler's Wife,PG-13,101344412,2009-08-14 00:00:00,108,39000000,63414846
Timeline,PG-13,43935763,2003-11-26 00:00:00,116,80000000,19481943
Titan A.E.,PG,36754634,2000-06-16 00:00:00,94,75000000,22753426
Titanic,PG-13,2186772302,1997-12-19 00:00:00,194,200000000,600788188
Titanic 3D,PG-13,944338958,2012-04-04 00:00:00,194,18000000,57884114
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
TMNT,PG,95608995,2007-03-23 00:00:00,90,34000000,54149098
To Save a Life,PG-13,3823025,2010-01-22 00:00:00,120,500000,3777210
The To-Do List,R,3566225,2013-07-26 00:00:00,100,1500000,3491669
Tomcats,R,23430766,2001-03-30 00:00:00,95,11000000,13558739
Tomorrowland,PG,209035668,2015-05-22 00:00:00,130,190000000,93436322
Tooth Fairy,PG,112462508,2010-01-22 00:00:00,102,48000000,60022256
Tootsie,PG,N/A,1982-12-17 00:00:00,119,21000000,177200000
Torque,PG-13,46546197,2004-01-16 00:00:00,81,40000000,21215059
Total Recall,R,261317921,1990-06-01 00:00:00,113,65000000,119394840
