movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Wicker Man,PG-13,38755073,2006-09-01 00:00:00,106,40000000,23649127
Wide Awake,PG,N/A,1998-03-20 00:00:00,88,6000000,282175
Wilbur Wants to Kill Himself,R,1546505,2004-03-12 00:00:00,111,4000000,235294
The Wild,G,102338515,2006-04-14 00:00:00,94,80000000,37384046
Wild Bill,R,N/A,1995-12-01 00:00:00,115,30000000,2193982
Wild Target,PG-13,3453043,2010-10-29 00:00:00,98,8000000,108589
The Wild Thornberrys,PG,60694737,2002-12-20 00:00:00,79,25000000,40108697
Wild Wild West,PG-13,222104681,1999-06-30 00:00:00,107,170000000,113804681
Willard,PG-13,8546666,2003-03-14 00:00:00,100,20000000,6886089
William Shakespeare's The Merchant of Venice,R,21417725,2004-12-29 00:00:00,138,30000000,3765585
Wimbledon,PG-13,41512007,2004-09-17 00:00:00,99,31000000,17001133
Win a Date with Tad Hamilton!,PG-13,21278456,2004-01-23 00:00:00,96,22000000,17071962
Windtalkers,R,77628265,2002-06-14 00:00:00,134,115000000,40914068
Wing Commander,PG-13,N/A,1999-03-12 00:00:00,100,30000000,11578059
Winnie the Pooh,G,33152846,2011-07-15 00:00:00,63,30000000,26692846
Winter Kills,R,N/A,1979-05-18 00:00:00,97,6500000,1083799
Winter's Bone,R,13831503,2010-06-11 00:00:00,100,2000000,6531503
Winter's Tale,PG-13,31125231,2014-02-14 00:00:00,129,60000000,12600231
Without a Paddle,PG-13,69631118,2004-08-20 00:00:00,99,19000000,58169327
Without Limits,PG-13,N/A,1998-09-11 00:00:00,117,25000000,777423
The Wizard of Oz,G,23311633,1939-08-25 00:00:00,101,2777000,22342633
The Wizard of Oz (1998 re-issue),G,N/A,1998-11-06 00:00:00,101,2000000,14817226
Wizards,PG,N/A,1977-02-09 00:00:00,80,1200000,N/A
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Wolf of Wall Street,R,392000694,2013-12-25 00:00:00,180,100000000,116900694
The Wolfman,R,139789765,2010-02-12 00:00:00,102,150000000,61979680
The Wolverine,PG-13,414828246,2013-07-26 00:00:00,126,120000000,132556852
Woman in Gold,PG-13,61619773,2015-04-01 00:00:00,109,11000000,33307793
Woman on Top,R,10194274,2000-09-22 00:00:00,92,8000000,5020111
The Women (2008),PG-13,50007546,2008-09-12 00:00:00,114,16000000,26902075
Wonder Boys,R,33426588,2000-02-23 00:00:00,111,55000000,19393557
The Wood,R,N/A,1999-07-16 00:00:00,106,6000000,25059640
The Words,PG-13,13231461,2012-09-07 00:00:00,96,6000000,11494838
The Work and the Glory,PG,N/A,2004-11-24 00:00:00,118,7500000,3347647
The Work and the Glory II: American Zion,PG-13,N/A,2005-10-21 00:00:00,100,6500000,2025032
The Work and the Glory III: A House Divided,PG,N/A,2006-11-22 00:00:00,93,6500000,1325092
The World Is Not Enough,PG-13,361832400,1999-11-19 00:00:00,128,135000000,126943684
World Trade Center,PG-13,162970240,2006-08-09 00:00:00,125,65000000,70278893
World Traveler,R,N/A,2002-04-19 00:00:00,103,2000000,103863
World War Z,PG-13,540007876,2013-06-21 00:00:00,116,190000000,202359711
The World's End,R,46089287,2013-08-23 00:00:00,109,20000000,26004851
The World's Fastest Indian,PG-13,18297690,2005-12-07 00:00:00,127,25000000,5128124
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Wrath of the Titans,PG-13,305270083,2012-03-30 00:00:00,99,150000000,83670083
Wreck-It Ralph,PG,471222889,2012-11-02 00:00:00,108,165000000,189422889
The Wrestler,R,44703995,2008-12-17 00:00:00,105,6000000,26238243
Wrong Turn,R,28650575,2003-05-30 00:00:00,81,12600000,15418790
Wyatt Earp,PG-13,N/A,1994-06-24 00:00:00,190,63000000,25052000
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The X-Files: I Want to Believe,PG-13,68369434,2008-07-25 00:00:00,104,30000000,20982478
X-Men,PG-13,296339527,2000-07-14 00:00:00,104,75000000,157299717
X-Men Origins: Wolverine,PG-13,373062864,2009-05-01 00:00:00,107,150000000,179883157
X-Men: Days of Future Past,PG-13,747862775,2014-05-23 00:00:00,131,200000000,233921534
X-Men: First Class,PG-13,353624124,2011-06-03 00:00:00,131,160000000,146408305
X-Men: The Last Stand,PG-13,459359555,2006-05-26 00:00:00,104,210000000,234362462
X2: X-Men United,PG-13,407711549,2003-05-02 00:00:00,134,110000000,214949694
