movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Shallow Grave,R,N/A,1995-02-10 00:00:00,94,2500000,2079569
Shallow Hal,PG-13,141069860,2001-11-09 00:00:00,113,40000000,70839203
Shanghai Knights,PG-13,88323487,2003-02-07 00:00:00,114,50000000,60476872
Shanghai Noon,PG-13,99274467,2000-05-26 00:00:00,110,55000000,56937502
Shanghai Surprise,PG-13,N/A,1986-08-29 00:00:00,97,17000000,2315683
Shark Night 3D,PG-13,40136479,2011-09-02 00:00:00,95,25000000,18877153
Shark Tale,PG,367275019,2004-10-01 00:00:00,90,75000000,160861908
The Shawshank Redemption,R,N/A,1994-09-23 00:00:00,142,25000000,28341469
She's All That,PG-13,103166989,1999-01-29 00:00:00,95,10000000,63366989
She's Out of My League,R,49779728,2010-03-12 00:00:00,104,20000000,32010860
She's the Man,PG-13,57194667,2006-03-17 00:00:00,105,20000000,33741133
Sherlock Holmes,PG-13,524028679,2009-12-25 00:00:00,134,90000000,209028679
The Shining,R,N/A,1980-05-23 00:00:00,146,19000000,44017374
The Shipping News,R,24690441,2001-12-25 00:00:00,111,38000000,11434216
Shoot 'Em Up,R,26820641,2007-09-07 00:00:00,80,39000000,12807139
Shooter,R,95696996,2007-03-23 00:00:00,124,61000000,47003582
Shortcut to Happiness (a.k.a. The Devil and Daniel Webster),PG-13,605294,2007-07-13 00:00:00,105,35000000,N/A
Showgirls,NC-17,N/A,1995-09-22 00:00:00,97,45000000,20350754
Showtime,PG-13,77741732,2002-03-15 00:00:00,95,85000000,38082712
Shrek,PG,484409218,2001-05-16 00:00:00,90,60000000,267665011
Shrek 2,PG,919838758,2004-05-19 00:00:00,93,150000000,441226247
Shrek Forever After,PG,752600867,2010-05-21 00:00:00,93,165000000,238736787
Shrek the Third,PG,798958162,2007-05-18 00:00:00,92,160000000,322719944
Shutter Island,R,294804195,2010-02-19 00:00:00,138,80000000,128012934
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Sicario,R,84025816,2015-09-18 00:00:00,121,30000000,46889293
Sicko,PG-13,36088109,2007-06-22 00:00:00,123,9000000,24540079
Sid and Nancy,R,N/A,1986-10-17 00:00:00,112,4000000,2826523
Side Effects,R,N/A,2005-09-09 00:00:00,98,30000000,2216
Sideways,R,109706931,2004-10-22 00:00:00,123,16000000,71503593
The Siege,R,116672912,1998-11-06 00:00:00,116,70000000,40981289
Signs,PG-13,408247917,2002-08-02 00:00:00,107,72000000,227966634
The Silence of the Lambs,R,272742922,1991-02-14 00:00:00,118,19000000,130742922
Silent Fall,R,N/A,1994-10-28 00:00:00,101,30000000,3180674
Silent Hill,R,97607453,2006-04-21 00:00:00,120,50000000,46982632
Silent Hill: Revelation 3D,R,52302796,2012-10-26 00:00:00,94,20000000,17529157
Silver Linings Playbook,R,236412453,2012-11-16 00:00:00,122,21000000,132092958
Simply Irresistible,PG-13,N/A,1999-02-05 00:00:00,94,6000000,4398989
The Simpsons Movie,PG-13,527071022,2007-07-27 00:00:00,87,75000000,183135014
Sin City,R,158753820,2005-04-01 00:00:00,125,40000000,74103820
Sinbad: Legend of the Seven Seas,PG,80767884,2003-07-02 00:00:00,86,60000000,26483452
Sing,Not Yet Rated,N/A,2016-12-21 00:00:00,N/A,75000000,N/A
A Single Man,R,24964890,2009-12-11 00:00:00,99,7000000,9176000
Sinister,R,77712439,2012-10-12 00:00:00,110,3000000,48086903
Sinister 2,R,52882018,2015-08-21 00:00:00,97,10000000,27740955
The Sisterhood of the Traveling Pants,PG,42013878,2005-06-01 00:00:00,119,25000000,39053061
The Sisterhood of the Traveling Pants 2,PG-13,44352417,2008-08-06 00:00:00,117,27000000,44089964
Sisters,R,105011053,2015-12-18 00:00:00,118,30000000,87044645
The Sitter,R,34942188,2011-12-09 00:00:00,100,25000000,30441326
The Sixth Sense,PG-13,672806292,1999-08-06 00:00:00,107,40000000,293506292
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Skeleton Key,PG-13,91974818,2005-08-12 00:00:00,104,43000000,47907715
Skinless,Unrated,N/A,2014-03-08 00:00:00,80,2000,400
The Skulls,PG-13,50802120,2000-03-31 00:00:00,107,35000000,35046120
Sky Bandits,PG,N/A,1986-10-31 00:00:00,105,18000000,2295500
Sky Captain and the World of Tomorrow,PG,57958696,2004-09-17 00:00:00,107,70000000,37762677
Sky High,PG,86369815,2005-07-29 00:00:00,102,35000000,63946815
Skyfall,PG-13,1108561013,2012-11-09 00:00:00,143,200000000,304360277
Skyline,PG-13,66821036,2010-11-12 00:00:00,100,10000000,21393620
Slacker,R,N/A,1991-07-05 00:00:00,97,23000,1228108
Slackers,R,6413915,2002-02-01 00:00:00,86,14000000,5285941
Sleeper,PG,N/A,1973-12-17 00:00:00,89,2000000,18344729
Sleeping with the Enemy,R,174999005,1991-02-08 00:00:00,99,19000000,101599005
