movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Tunnel (2011),Unrated,N/A,2011-08-05 00:00:00,90,135000,1532
Turbo,PG,282570682,2013-07-17 00:00:00,96,135000000,83028128
Turbulence,R,N/A,1997-01-10 00:00:00,101,55000000,11538235
Turistas,R,14690987,2006-12-01 00:00:00,92,10000000,7027762
Turn It Up,R,N/A,2000-09-08 00:00:00,87,13000000,1247949
The Tuxedo,PG-13,104391623,2002-09-27 00:00:00,99,60000000,50547998
Twelve,R,2566717,2010-08-06 00:00:00,98,5000000,183920
Twilight,PG-13,393616788,2008-11-21 00:00:00,120,37000000,192769854
Twilight (1998),R,N/A,1998-03-06 00:00:00,96,37000000,15055091
The Twilight Saga: Breaking Dawn Part 1,PG-13,712205856,2011-11-18 00:00:00,108,110000000,281287133
The Twilight Saga: Breaking Dawn Part 2,PG-13,829746820,2012-11-16 00:00:00,116,120000000,292324737
The Twilight Saga: Eclipse,PG-13,698491347,2010-06-30 00:00:00,124,68000000,300531751
The Twilight Saga: New Moon,PG-13,709711008,2009-11-20 00:00:00,130,50000000,296623634
Twin Dragons,PG-13,N/A,1999-04-09 00:00:00,90,10000000,8359717
Twin Town,Unrated,N/A,1997-05-09 00:00:00,99,3300000,127923
Twins,PG,216614388,1988-12-09 00:00:00,105,15000000,111938388
Twisted,R,40954603,2004-02-27 00:00:00,97,50000000,25198598
Twister,PG-13,494471524,1996-05-10 00:00:00,113,92000000,241721524
Two Can Play That Game,R,22391450,2001-09-07 00:00:00,91,13000000,22235901
Two for the Money,R,30526509,2005-10-07 00:00:00,122,35000000,22991379
Two Weeks Notice,PG-13,199043242,2002-12-20 00:00:00,100,60000000,93354851
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Tyler Perry Presents Peeples,PG-13,9307065,2013-05-10 00:00:00,95,15000000,9177065
Tyler Perry's Diary of a Mad Black Woman,PG-13,50652203,2005-02-25 00:00:00,116,5500000,50633099
Tyler Perry's Madea's Family Reunion,PG-13,63308879,2006-02-24 00:00:00,107,6000000,63257940
Tyler Perry's Madea's Witness Protection,PG-13,66899242,2012-06-29 00:00:00,114,20000000,65653242
Tyler Perry's Why Did I Get Married Too?,PG-13,60673972,2010-04-02 00:00:00,121,20000000,60095852
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
U-571,PG-13,127666415,2000-04-21 00:00:00,117,62000000,77122415
The Ugly Truth,R,205298907,2009-07-24 00:00:00,96,38000000,88915214
Ultraviolet,PG-13,31070211,2006-03-03 00:00:00,85,30000000,18535812
Un Gallo con Muchos Huevos,PG-13,9080818,2015-09-04 00:00:00,98,5300000,9080818
Unaccompanied Minors,PG,21949214,2006-12-08 00:00:00,89,25000000,16655224
The Unborn (2009),PG-13,76514050,2009-01-09 00:00:00,88,16000000,42670410
Unbreakable,PG-13,248118121,2000-11-22 00:00:00,106,75000000,95011339
Unbroken,PG-13,163442937,2014-12-25 00:00:00,137,65000000,115637895
Under Suspicion,R,260562,2000-09-22 00:00:00,110,25000000,260562
Under the Skin (2014),R,5380251,2014-04-04 00:00:00,107,13300000,2614251
Under the Tuscan Sun,PG-13,58878723,2003-09-26 00:00:00,113,18000000,43610723
Underworld,R,95708457,2003-09-19 00:00:00,115,22000000,51970690
Underworld Awakening,R,160112671,2012-01-20 00:00:00,88,70000000,62321039
Underworld: Rise of the Lycans,R,91353501,2009-01-23 00:00:00,92,35000000,45802315
Undiscovered,PG-13,1069318,2005-08-26 00:00:00,92,9000000,1069318
Undisputed,R,15220548,2002-08-23 00:00:00,96,20000000,12764657
Unfaithful,R,119137784,2002-05-08 00:00:00,100,50000000,52775765
Unfinished Business,R,14431253,2015-03-06 00:00:00,91,35000000,10219501
An Unfinished Life,PG-13,18618284,2005-09-09 00:00:00,100,30000000,8586392
Unfriended,R,64056643,2015-04-17 00:00:00,83,1000000,32482090
Unidentified,PG,N/A,2006-04-28 00:00:00,85,400000,224099
United 93,R,76286096,2006-04-28 00:00:00,90,15000000,31483450
The United States of Autism,Unrated,N/A,2013-04-05 00:00:00,93,65000,100403
Universal Soldier: The Return,R,N/A,1999-08-20 00:00:00,83,45000000,10667893
Unknown,PG-13,130786397,2011-02-18 00:00:00,109,30000000,63686397
Unleashed,R,50871113,2005-05-13 00:00:00,103,45000000,24537621
Unstoppable,PG-13,167805466,2010-11-12 00:00:00,98,100000000,81562942
Untraceable,R,52659594,2008-01-25 00:00:00,101,35000000,28687835
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Up,PG,731342744,2009-05-29 00:00:00,96,175000000,293004164
Up in the Air,R,166842739,2009-12-04 00:00:00,109,25000000,83823381
The Upside of Anger,R,28237190,2005-03-11 00:00:00,118,12000000,18761993
Uptown Girls,PG-13,44617342,2003-08-15 00:00:00,93,20000000,37182494
Urban Legend,R,72527595,1998-09-25 00:00:00,100,14000000,38072438
Urban Legends: Final Cut,R,38574362,2000-09-22 00:00:00,98,14000000,21468807
Used Cars,R,N/A,1980-07-18 00:00:00,113,8000000,11715321
The Usual Suspects,R,N/A,1995-08-18 00:00:00,106,6000000,23341568
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
V for Vendetta,R,132511035,2006-03-17 00:00:00,131,54000000,70511035
Vacancy,R,35300645,2007-04-20 00:00:00,80,19000000,19363565
Vacation,R,104884188,2015-07-29 00:00:00,99,31000000,58884188
Valentine,R,36684136,2001-02-02 00:00:00,96,29000000,20384136
Valentine's Day,PG-13,216485654,2010-02-12 00:00:00,117,52000000,110485654
Valiant,G,61746888,2005-08-19 00:00:00,76,35000000,19478106
Valkyrie,PG-13,200276784,2008-12-25 00:00:00,120,75000000,83077833
Valley Girl,R,N/A,1983-04-29 00:00:00,95,350000,17343596
Vampires Suck,PG-13,80547866,2010-08-18 00:00:00,80,20000000,36661504
Van Helsing,PG-13,300257475,2004-05-07 00:00:00,130,160000000,120177084
Vanilla Sky,R,203388341,2001-12-14 00:00:00,135,68000000,100618344
Vanity Fair,PG-13,19463185,2004-09-01 00:00:00,140,23000000,16136476
Vantage Point,PG-13,151161491,2008-02-22 00:00:00,90,40000000,72266306
Varsity Blues,R,54294169,1999-01-15 00:00:00,104,16000000,52894169
Veer Zaara,Unrated,2938532,2004-11-11 00:00:00,192,7000000,2938532
The Velocity of Gary,R,N/A,1999-04-30 00:00:00,100,4000000,2143
Veronica Guerin,R,9439660,2003-10-17 00:00:00,94,17000000,1571504
Veronica Mars,PG-13,3517027,2014-03-14 00:00:00,107,6000000,3322127
Vertical Limit,PG-13,215663859,2000-12-08 00:00:00,124,75000000,69243859
Very Bad Things,R,N/A,1998-11-27 00:00:00,100,30000000,9898412
A Very Brady Sequel,PG-13,N/A,1996-08-23 00:00:00,89,12000000,21440752
A Very Harold & Kumar 3D Christmas,R,35387212,2011-11-04 00:00:00,89,19000000,35061031
A Very Long Engagement,R,70115868,2004-11-26 00:00:00,134,56600000,6524389
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
The Village,PG-13,256697520,2004-07-30 00:00:00,108,60000000,114197520
Vincere,Unrated,5698001,2010-03-19 00:00:00,128,13000000,619162
The Virgin Suicides,R,10409377,2000-04-21 00:00:00,97,9000000,4906229
The Virginity Hit,R,N/A,2010-09-24 00:00:00,86,2000000,636706
Virus,R,30652005,1999-01-15 00:00:00,100,75000000,14036005
The Visit,PG-13,98450062,2015-09-11 00:00:00,94,5000000,65206105
Vitus,PG,6079556,2007-06-29 00:00:00,123,2500000,187480
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Volcano,PG-13,122823468,1997-04-25 00:00:00,104,90000000,49323468
The Vow,PG-13,196114570,2012-02-10 00:00:00,104,30000000,125014030
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
W.,PG-13,29506464,2008-10-17 00:00:00,129,25100000,25534493
Waiting for Forever,PG-13,N/A,2011-02-04 00:00:00,94,5000000,25517
Waiting for Guffman,R,N/A,1997-01-31 00:00:00,84,4000000,2923982
Waiting...,R,18637690,2005-10-07 00:00:00,93,3000000,16124543
The Walk,PG,60977176,2015-09-30 00:00:00,123,35000000,10137502
A Walk Among the Tombstones,R,53181600,2014-09-19 00:00:00,114,28000000,26307600
Walk Hard: The Dewey Cox Story,R,20575243,2007-12-21 00:00:00,96,35000000,18317151
Walk the Line,PG-13,186438883,2005-11-18 00:00:00,135,28000000,119519402
A Walk to Remember,PG,47494916,2002-01-25 00:00:00,101,11800000,41281092
Walking Tall,PG-13,57223890,2004-04-02 00:00:00,86,46000000,46437717
Walking with Dinosaurs,PG,126546518,2013-12-20 00:00:00,87,80000000,36076121
Wall Street: Money Never Sleeps,PG-13,134748021,2010-09-24 00:00:00,127,70000000,52474616
WALL-E,G,521311860,2008-06-27 00:00:00,97,180000000,223808164
Wallace and Gromit: The Curse of the Were-Rabbit,G,192610372,2005-10-05 00:00:00,85,30000000,56110897
Wanted,R,341433252,2008-06-27 00:00:00,108,75000000,134508551
War Horse,PG-13,177584879,2011-12-25 00:00:00,146,66000000,79884879
War of the Worlds,PG-13,591745540,2005-06-29 00:00:00,117,132000000,234280354
