movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
I Heart Huckabees,R,20072172,2004-10-01 00:00:00,106,20000000,12785432
I Love You Beth Cooper,PG-13,15821907,2009-07-10 00:00:00,102,18000000,14800725
"I Love You, Phillip Morris",R,20722843,2010-12-03 00:00:00,100,13000000,2037459
I Married a Strange Person!,R,N/A,1998-08-28 00:00:00,73,250000,206272
I Now Pronounce You Chuck and Larry,PG-13,186072214,2007-07-20 00:00:00,110,85000000,120059556
I Spit on Your Grave,Unrated,572809,2010-10-08 00:00:00,108,2000000,93051
I Spy,PG-13,50732945,2002-11-01 00:00:00,96,70000000,33561137
I Still Know What You Did Last Summer,R,N/A,1998-11-13 00:00:00,100,65000000,40002112
I Think I Love My Wife,R,13196245,2007-03-16 00:00:00,90,11000000,12550605
I Wanna Hold Your Hand,PG,N/A,1978-01-01 00:00:00,104,2700000,1944682
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
I'll Be Home for Christmas,PG,N/A,1998-11-13 00:00:00,86,30000000,12214338
I'll Do Anything,PG-13,N/A,1994-02-04 00:00:00,116,40000000,10424645
"I, Frankenstein",PG-13,71154592,2014-01-24 00:00:00,92,65000000,19075290
"I, Robot",PG-13,347234916,2004-07-16 00:00:00,105,120000000,144801023
I.Q.,PG,N/A,1994-12-25 00:00:00,95,25000000,26381221
Ice Age,PG,383257136,2002-03-15 00:00:00,81,59000000,176387405
Ice Age: Continental Drift,PG,877244782,2012-07-13 00:00:00,94,95000000,161321843
Ice Age: Dawn of the Dinosaurs,PG,886686817,2009-07-01 00:00:00,87,90000000,196573705
Ice Age: The Meltdown,PG,660940780,2006-03-31 00:00:00,90,80000000,195330621
Identity,R,90259536,2003-04-25 00:00:00,87,28000000,52159536
Identity Thief,R,173965010,2013-02-08 00:00:00,111,35000000,134506920
Idle Hands,R,N/A,1999-04-30 00:00:00,92,25000000,4152230
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
If I Stay,PG-13,78874843,2014-08-22 00:00:00,106,11000000,50474843
Igby Goes Down,R,6919198,2002-09-13 00:00:00,98,9000000,4777465
