movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Book of Mormon Movie,PG,N/A,2003-09-12 00:00:00,120,1500000,1680020
Book of Shadows: Blair Witch 2,R,47737094,2000-10-27 00:00:00,90,15000000,26437094
Boomerang,R,131052444,1992-07-01 00:00:00,117,42000000,70052444
The Boondock Saints,R,N/A,2000-01-21 00:00:00,110,6000000,30471
The Boondock Saints II: All Saints Day,R,10629321,2009-10-30 00:00:00,118,8000000,10273188
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,261572744,2006-11-03 00:00:00,84,18000000,128505958
The Boss,R,44822785,2016-04-08 00:00:00,99,29000000,40866035
Bottle Rocket,R,N/A,1996-02-21 00:00:00,92,7000000,560069
Bounce,PG-13,53425292,2000-11-17 00:00:00,106,35000000,36805288
The Bounty Hunter,PG-13,136333522,2010-03-19 00:00:00,106,40000000,67061228
The Bourne Identity,PG-13,214034224,2002-06-14 00:00:00,118,60000000,121661683
The Bourne Legacy,PG-13,276144750,2012-08-10 00:00:00,135,125000000,113203870
The Bourne Supremacy,PG-13,288500217,2004-07-23 00:00:00,108,75000000,176241941
The Bourne Ultimatum,PG-13,442824138,2007-08-03 00:00:00,111,110000000,227471070
Bowfinger,PG-13,98625775,1999-08-13 00:00:00,97,55000000,66384775
Bowling for Columbine,R,58008423,2002-10-11 00:00:00,120,4000000,21576018
The Box,PG-13,33333531,2009-11-06 00:00:00,116,30000000,15051977
The Boxtrolls,PG,109285033,2014-09-26 00:00:00,97,60000000,50837305
The Boy (2016),PG-13,35819556,2016-01-22 00:00:00,98,10000000,35819556
The Boy Next Door,R,52425855,2015-01-23 00:00:00,91,4000000,35423380
Boyhood,R,44495281,2014-07-11 00:00:00,166,4000000,25352281
Boys and Girls,PG-13,25850615,2000-06-16 00:00:00,102,35000000,21799652
Boys Don't Cry,R,N/A,1999-10-08 00:00:00,118,2000000,11540607
Boyz N the Hood,R,N/A,1991-07-12 00:00:00,107,6500000,57504069
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Bram Stoker's Dracula,R,215862692,1992-11-13 00:00:00,127,40000000,82522790
Brave,PG,538983207,2012-06-22 00:00:00,100,185000000,237283207
Braveheart,R,210409945,1995-05-24 00:00:00,177,72000000,75609945
The Break-Up,PG-13,204999686,2006-06-02 00:00:00,106,52000000,118703275
Breakdown,R,N/A,1997-05-02 00:00:00,93,36000000,50159144
Breakfast of Champions,R,N/A,1999-09-17 00:00:00,110,12000000,178278
Breakin' All the Rules,PG-13,12544254,2004-05-14 00:00:00,82,10000000,12264319
Breaking Upwards,Unrated,N/A,2010-04-02 00:00:00,89,15000,77389
Brick Mansions,PG-13,68896829,2014-04-25 00:00:00,90,28000000,20396829
Bride and Prejudice,PG-13,24716440,2005-02-11 00:00:00,111,7000000,6605592
Bride of Chucky,R,50671850,1998-10-16 00:00:00,89,25000000,32383850
Bride Wars,PG,114663461,2009-01-09 00:00:00,90,30000000,58715510
Bridesmaids,R,288383523,2011-05-13 00:00:00,125,32500000,169106725
The Bridge of San Luis Rey,PG,1800141,2005-06-10 00:00:00,120,24000000,49981
Bridge of Spies,PG-13,165478348,2015-10-16 00:00:00,140,40000000,72313754
The Bridge on the River Kwai,PG,N/A,1957-12-18 00:00:00,161,3000000,27200000
A Bridge Too Far,PG,N/A,1977-06-15 00:00:00,176,27000000,50750000
The Bridges of Madison County,PG-13,182016617,1995-06-02 00:00:00,135,24000000,71516617
Bridget Jones's Baby,Unknown,N/A,2016-09-16 00:00:00,N/A,35000000,N/A
Bridget Jones's Diary,R,281929795,2001-04-13 00:00:00,97,25000000,71543427
Bridget Jones: The Edge of Reason,R,262520724,2004-11-12 00:00:00,108,40000000,40226215
Bright Star,PG,14350945,2009-09-16 00:00:00,119,8500000,4444637
Brighton Rock,R,1829020,2011-08-26 00:00:00,111,12000000,229653
Bring It On,PG-13,90449929,2000-08-25 00:00:00,98,28000000,68379000
Bringing Down the House,PG-13,164729679,2003-03-07 00:00:00,105,33000000,132716677
Bringing Out the Dead,R,N/A,1999-10-22 00:00:00,121,55000000,16797191
Brokeback Mountain,R,178062759,2005-12-09 00:00:00,135,14000000,83043761
Brokedown Palace,PG-13,N/A,1999-08-13 00:00:00,100,25000000,10115013
Broken City,R,19701164,2013-01-18 00:00:00,109,35000000,19701164
Brooklyn Rules,R,N/A,2007-05-11 00:00:00,95,8000000,458232
Brooklyn's Finest,R,36440201,2010-03-05 00:00:00,133,17000000,27163593
Brotherhood of the Wolf,R,70752904,2002-01-11 00:00:00,142,29000000,11260096
Brothers,R,43318349,2009-12-04 00:00:00,110,26000000,28544157
The Brothers,R,27958191,2001-03-23 00:00:00,102,6000000,27457409
The Brothers Grimm,PG-13,105316267,2005-08-26 00:00:00,120,88000000,37916267
The Brothers McMullen,R,N/A,1995-08-11 00:00:00,98,238000,10426506
The Brothers Solomon,R,1035056,2007-09-07 00:00:00,91,10000000,900926
Brown Sugar,PG-13,28316451,2002-10-11 00:00:00,108,8000000,27363891
Bruce Almighty,PG-13,484592874,2003-05-23 00:00:00,101,81000000,242829261
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Bubble,R,261966,2006-01-27 00:00:00,72,1600000,145626
Bubble Boy,PG-13,N/A,2001-08-24 00:00:00,84,13000000,5007898
The Bucket List,PG-13,175372502,2007-12-25 00:00:00,97,45000000,93466502
Bucky Larson: Born to Be a Star,R,N/A,2011-09-09 00:00:00,96,10000000,2529395
Buffalo Soldiers,R,354421,2003-07-25 00:00:00,98,15000000,354421
A Bug's Life,G,363398565,1998-11-20 00:00:00,96,120000000,162798565
Bulletproof Monk,PG-13,37713879,2003-04-16 00:00:00,103,52000000,23358708
Burlesque,PG-13,89519773,2010-11-24 00:00:00,100,55000000,39440655
Burn After Reading,R,163720069,2008-09-12 00:00:00,97,37000000,60355347
Burnt,R,36499575,2015-10-30 00:00:00,100,20000000,13651946
The Butterfly Effect,R,96060858,2004-01-23 00:00:00,114,13000000,57938693
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
By the Sea,R,3334927,2015-11-13 00:00:00,122,10000000,538460
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Cabin Fever,R,30553394,2003-09-12 00:00:00,94,1500000,21158188
The Cable Guy,PG-13,102825796,1996-06-14 00:00:00,96,47000000,60240295
Cadillac Records,R,8880045,2008-12-05 00:00:00,108,12000000,8195551
Calendar Girls,PG-13,96542059,2003-12-19 00:00:00,108,10000000,31041759
The Call,R,68572378,2013-03-15 00:00:00,95,13000000,51872378
The Calling,PG,6092,2003-10-10 00:00:00,124,160000,6092
Camp X-Ray,R,13302,2014-10-17 00:00:00,117,1000000,13302
Canadian Bacon,PG,N/A,1995-09-22 00:00:00,91,11000000,163971
Cape of Good Hope,PG-13,N/A,2005-11-11 00:00:00,107,3000000,26904
Capitalism: A Love Story,R,17436509,2009-09-23 00:00:00,127,20000000,14363397
Capote,R,49233161,2005-09-30 00:00:00,114,7000000,28750530
Captain America: The First Avenger,PG-13,370569774,2011-07-22 00:00:00,125,140000000,176654505
Captain America: The Winter Soldier,PG-13,714421503,2014-04-04 00:00:00,136,170000000,259766572
Captain Corelli's Mandolin,R,62112895,2001-08-17 00:00:00,129,57000000,25543895
Captain Phillips,PG-13,218791811,2013-10-11 00:00:00,134,55000000,107100855
Caravans,PG,N/A,1978-11-02 00:00:00,127,14000000,3930501
The Care Bears Movie ,G,N/A,1985-03-29 00:00:00,77,2000000,22934622
Carlito's Way,R,63848322,1993-11-12 00:00:00,145,30000000,36948322
Carlos,Unrated,871279,2010-10-15 00:00:00,140,18000000,145526
Carrie (2013),R,84790678,2013-10-18 00:00:00,92,30000000,35266619
Cars,G,461983149,2006-06-09 00:00:00,116,120000000,244082982
Cars 2,G,559852396,2011-06-24 00:00:00,113,200000000,191452396
Casablanca,Unrated,N/A,1942-11-26 00:00:00,102,950000,2875243
Case 39,R,28189979,2010-10-01 00:00:00,109,26000000,13261851
Casino Jack,R,1083683,2010-12-17 00:00:00,108,12500000,1042959
Casino Royale,PG-13,599045960,2006-11-17 00:00:00,144,150000000,167445960
Ca,Not Yet Rated,12353768,N/A,141,6000000,N/A
