movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
The Assassination of Jesse James by the Coward Robert Ford,R,15001776,2007-09-21 00:00:00,160,30000000,3909149
Assassins,R,N/A,1995-10-06 00:00:00,133,50000000,30303072
Assault on Precinct 13,R,35294470,2005-01-19 00:00:00,109,30000000,20040895
Astro Boy,PG,39886986,2009-10-23 00:00:00,94,65000000,19551067
The Astronaut Farmer,PG,11130889,2007-02-23 00:00:00,104,13000000,11003643
The Astronaut's Wife,R,19598588,1999-08-27 00:00:00,110,75000000,10672566
At First Sight,PG-13,N/A,1999-01-15 00:00:00,124,60000000,22365133
ATL,PG-13,N/A,2006-03-31 00:00:00,100,20000000,21170563
Atlantis: The Lost Empire,PG,186053725,2001-06-08 00:00:00,95,120000000,84056472
Atlas Shrugged: Part I,PG-13,N/A,2011-04-15 00:00:00,102,20000000,4627375
Attack the Block,R,5824175,2011-07-29 00:00:00,88,13000000,1024175
The Jungle Book (2016),PG,314184975,2016-04-15 00:00:00,105,175000000,110284975
Austin Powers in Goldmember,PG-13,296655431,2002-07-26 00:00:00,94,63000000,213307889
Austin Powers: International Man of Mystery,PG-13,67683989,1997-05-02 00:00:00,100,16500000,53883989
Austin Powers: The Spy Who Shagged Me,PG-13,312016858,1999-06-11 00:00:00,95,33000000,206040086
Australia,PG-13,211342221,2008-11-26 00:00:00,165,130000000,49554002
Autumn in New York,PG-13,90726668,2000-08-11 00:00:00,104,65000000,37761915
The Avengers (1998),PG-13,N/A,1998-08-14 00:00:00,90,60000000,23384939
Avengers: Age of Ultron,PG-13,1405413868,2015-05-01 00:00:00,141,250000000,459005868
The Aviator,PG-13,213741459,2004-12-17 00:00:00,168,110000000,102610330
Awake,R,32685679,2007-11-30 00:00:00,84,8600000,14377198
Away We Go,R,14899417,2009-06-05 00:00:00,98,17000000,9451946
Back to the Future,PG,381109762,1985-07-03 00:00:00,111,19000000,210609762
Back to the Future Part III,PG,244527583,1990-05-25 00:00:00,118,40000000,87727583
The Back-Up Plan,PG-13,77477008,2010-04-23 00:00:00,98,35000000,37490007
